PS,TS,QV2M,WS2M,T2M_MAX,T2M_MIN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,YEAR,DISTRICT
97.64,27.8,12.01,2.17,47.96,7.6,0.54,54.51,2.78,1.07,0.03,18.26,8.31,2014.0,Bhandara
97.7,27.44,12.48,2.04,47.49,7.18,0.54,52.46,3.77,1.05,0.03,18.27,8.28,2015.0,Bhandara
97.59,27.69,11.92,2.05,46.92,7.13,0.54,53.99,3.45,1.06,0.03,18.26,8.28,2016.0,Bhandara
97.59,27.9,11.63,1.98,46.99,6.69,0.56,47.77,3.05,1.09,0.03,18.87,8.52,2017.0,Bhandara
97.6,27.7,11.35,2.05,46.18,5.86,0.54,47.46,2.91,1.03,0.03,18.13,8.18,2018.0,Bhandara
95.58,27.18,10.62,2.52,45.14,8.43,0.56,45.16,1.92,1.11,0.03,18.99,8.62,2001.0,Buldhana
95.63,27.93,10.21,2.72,45.61,8.4,0.57,42.02,1.82,1.11,0.03,19.14,8.69,2002.0,Buldhana
95.63,27.7,10.96,2.68,44.67,8.13,0.57,45.13,1.98,1.12,0.03,19.24,8.73,2003.0,Buldhana
95.64,27.4,10.82,2.58,44.12,8.59,0.58,41.83,1.78,1.15,0.03,19.71,8.95,2004.0,Buldhana
95.62,26.57,10.91,2.56,44.36,8.34,0.57,43.92,2.63,1.12,0.03,19.18,8.69,2005.0,Buldhana
95.63,26.58,11.77,2.41,44.22,8.18,0.56,46.4,3.53,1.1,0.03,18.8,8.55,2006.0,Buldhana
95.59,27.06,11.1,2.39,44.57,10.07,0.57,44.28,2.23,1.12,0.03,19.38,8.77,2007.0,Buldhana
95.58,27.46,10.58,2.54,44.05,7.17,0.56,44.49,1.66,1.09,0.03,18.9,8.54,2008.0,Buldhana
95.6,27.72,11.01,2.51,44.79,9.73,0.57,42.11,2.25,1.11,0.03,19.3,8.69,2009.0,Buldhana
95.58,27.28,12.17,2.43,45.99,7.68,0.56,49.45,2.79,1.1,0.03,18.79,8.55,2010.0,Buldhana
95.57,26.88,11.16,2.42,43.44,6.77,0.56,44.46,2.13,1.09,0.03,18.9,8.54,2011.0,Buldhana
95.58,27.14,10.68,2.62,43.24,7.21,0.55,47.62,2.04,1.08,0.03,18.76,8.46,2012.0,Buldhana
95.58,26.56,11.81,2.7,44.64,7.98,0.53,48.17,2.72,1.03,0.03,17.93,8.11,2013.0,Buldhana
95.69,27.55,11.28,2.57,44.41,7.06,0.55,45.96,1.92,1.08,0.03,18.77,8.48,2014.0,Buldhana
95.73,27.51,11.32,2.46,44.92,7.55,0.56,45.79,2.45,1.08,0.03,18.93,8.54,2015.0,Buldhana
95.66,27.15,10.86,2.47,46.39,7.32,0.55,48.08,2.54,1.07,0.03,18.7,8.42,2016.0,Buldhana
95.65,27.18,10.79,2.42,44.1,7.8,0.57,45.94,2.31,1.1,0.03,19.23,8.64,2017.0,Buldhana
95.65,27.58,10.12,2.44,44.92,5.5,0.54,43.98,2.09,1.04,0.03,18.39,8.25,2018.0,Buldhana
98.15,27.82,12.18,2.11,47.64,8.57,0.53,58.48,2.75,1.05,0.03,17.93,8.2,2001.0,Chandrapur
98.19,28.57,11.63,2.25,47.26,9.26,0.56,52.17,2.81,1.11,0.03,18.99,8.69,2002.0,Chandrapur
98.2,28.29,12.39,2.24,48.19,8.29,0.55,57.8,3.44,1.1,0.03,18.6,8.52,2003.0,Chandrapur
98.22,28.16,12.17,2.18,46.51,7.89,0.56,51.56,2.24,1.12,0.03,19.01,8.7,2004.0,Chandrapur
98.19,27.64,12.28,2.06,47.32,7.91,0.54,56.8,3.75,1.09,0.03,18.51,8.46,2005.0,Chandrapur
98.21,27.71,12.88,2.02,46.02,7.99,0.55,53.12,3.79,1.09,0.03,18.61,8.51,2006.0,Chandrapur
98.16,28.09,12.14,2.04,46.42,10.81,0.55,51.93,2.9,1.1,0.03,18.88,8.61,2007.0,Chandrapur
98.16,27.56,12.17,1.99,46.36,9.11,0.54,52.67,3.03,1.06,0.03,18.29,8.34,2008.0,Chandrapur
98.15,28.77,11.91,1.98,46.98,10.57,0.56,50.62,2.81,1.11,0.03,19.16,8.69,2009.0,Chandrapur
98.14,28.64,12.78,2.07,47.53,8.01,0.53,56.98,4.37,1.06,0.03,18.06,8.26,2010.0,Chandrapur
98.15,27.83,12.41,1.99,46.07,6.36,0.55,49.02,2.71,1.09,0.03,18.87,8.58,2011.0,Chandrapur
98.14,28.07,11.83,2.12,47.44,6.22,0.54,53.28,3.53,1.05,0.03,18.24,8.27,2012.0,Chandrapur
98.15,27.63,13.02,2.22,48.67,9.85,0.51,56.18,4.55,1.0,0.03,17.2,7.84,2013.0,Chandrapur
98.26,28.27,12.48,2.15,47.38,8.32,0.53,54.13,2.71,1.05,0.03,18.18,8.27,2014.0,Chandrapur
98.31,28.23,12.76,2.08,47.37,7.56,0.54,51.78,3.2,1.06,0.03,18.54,8.42,2015.0,Chandrapur
98.21,28.01,12.49,2.17,46.7,7.9,0.54,55.2,3.72,1.06,0.03,18.37,8.34,2016.0,Chandrapur
98.21,28.27,11.96,2.01,47.12,8.74,0.55,49.95,2.93,1.08,0.03,18.82,8.5,2017.0,Chandrapur
98.22,28.17,11.81,2.1,46.63,6.69,0.53,48.32,3.0,1.02,0.03,18.06,8.17,2018.0,Chandrapur
97.51,28.29,10.74,2.54,46.09,8.3,0.57,39.35,1.61,1.12,0.03,19.32,8.7,2001.0,Dhule
97.57,28.77,10.49,2.71,47.57,8.13,0.57,36.8,1.65,1.11,0.03,19.34,8.72,2002.0,Dhule
97.57,28.21,11.46,2.58,45.51,7.85,0.57,39.16,2.16,1.12,0.03,19.41,8.75,2003.0,Dhule
97.57,28.11,11.26,2.55,45.01,9.36,0.57,39.99,1.96,1.13,0.03,19.41,8.76,2004.0,Dhule
97.56,27.2,11.21,2.47,45.37,8.36,0.57,39.74,2.81,1.12,0.03,19.26,8.67,2005.0,Dhule
97.56,27.53,12.01,2.4,45.32,8.53,0.56,40.38,3.12,1.09,0.03,18.88,8.51,2006.0,Dhule
97.51,27.81,11.58,2.34,45.98,10.61,0.57,41.32,2.35,1.11,0.03,19.27,8.69,2007.0,Dhule
97.52,27.94,10.99,2.49,45.3,7.23,0.56,40.51,1.83,1.09,0.03,19.06,8.55,2008.0,Dhule
97.53,28.69,11.36,2.53,46.21,10.22,0.57,38.92,2.09,1.11,0.03,19.41,8.7,2009.0,Dhule
97.5,28.16,12.57,2.38,46.69,8.6,0.56,46.92,2.51,1.09,0.03,18.81,8.51,2010.0,Dhule
97.5,27.91,11.22,2.42,44.6,7.39,0.56,40.07,1.97,1.08,0.03,18.89,8.47,2011.0,Dhule
97.51,28.13,10.83,2.65,43.84,6.74,0.56,41.95,1.7,1.08,0.03,18.95,8.48,2012.0,Dhule
97.52,27.26,12.09,2.65,45.42,7.53,0.53,45.53,2.6,1.03,0.03,17.93,8.06,2013.0,Dhule
97.62,28.27,11.56,2.5,45.52,6.96,0.56,41.32,1.92,1.08,0.03,18.84,8.45,2014.0,Dhule
97.67,28.34,11.59,2.39,45.47,7.37,0.56,42.37,2.22,1.08,0.03,18.91,8.48,2015.0,Dhule
97.6,28.41,10.84,2.48,46.72,7.71,0.55,42.88,1.75,1.07,0.03,18.74,8.39,2016.0,Dhule
97.58,28.52,10.9,2.44,44.95,7.82,0.56,42.3,1.72,1.08,0.03,19.02,8.5,2017.0,Dhule
97.57,29.24,9.91,2.55,45.87,6.11,0.55,41.51,1.06,1.04,0.03,18.58,8.28,2018.0,Dhule
98.03,27.29,12.47,1.66,47.19,9.22,0.52,58.83,3.09,1.05,0.03,17.61,8.1,2001.0,Gadchiroli
98.07,27.92,11.93,1.78,47.56,9.38,0.55,53.03,3.0,1.11,0.03,18.78,8.63,2002.0,Gadchiroli
98.08,27.78,12.6,1.76,48.53,9.01,0.53,58.82,3.97,1.09,0.03,18.16,8.37,2003.0,Gadchiroli
98.11,27.36,12.6,1.72,46.14,8.31,0.55,52.03,2.72,1.11,0.03,18.68,8.58,2004.0,Gadchiroli
98.07,27.2,12.6,1.63,47.04,8.5,0.53,57.72,4.27,1.08,0.03,18.16,8.34,2005.0,Gadchiroli
98.1,27.25,13.11,1.61,45.5,8.39,0.54,53.67,4.07,1.09,0.03,18.36,8.44,2006.0,Gadchiroli
98.05,27.54,12.45,1.64,46.53,10.45,0.55,53.09,3.41,1.1,0.03,18.68,8.57,2007.0,Gadchiroli
98.05,27.06,12.46,1.6,45.99,9.89,0.53,54.71,3.43,1.05,0.03,17.93,8.21,2008.0,Gadchiroli
98.04,28.25,12.17,1.58,46.81,10.78,0.56,51.73,3.17,1.11,0.03,19.07,8.7,2009.0,Gadchiroli
98.03,28.16,12.99,1.64,47.48,8.12,0.52,59.55,4.92,1.06,0.03,17.85,8.23,2010.0,Gadchiroli
98.04,27.27,12.71,1.59,45.39,6.94,0.55,50.55,3.19,1.09,0.03,18.65,8.51,2011.0,Gadchiroli
98.02,27.58,12.16,1.69,47.32,6.65,0.53,55.11,4.27,1.05,0.03,17.95,8.19,2012.0,Gadchiroli
98.03,27.13,13.28,1.74,48.27,9.75,0.5,57.97,5.04,1.0,0.03,16.99,7.79,2013.0,Gadchiroli
98.15,27.47,12.84,1.69,47.42,8.7,0.52,56.35,3.26,1.04,0.03,17.79,8.13,2014.0,Gadchiroli
98.2,27.56,13.07,1.64,47.12,8.23,0.53,54.93,3.53,1.05,0.03,18.1,8.26,2015.0,Gadchiroli
98.1,27.52,12.8,1.74,46.61,8.83,0.53,56.45,4.04,1.06,0.03,18.13,8.28,2016.0,Gadchiroli
98.1,27.63,12.28,1.6,46.39,9.05,0.55,50.2,3.34,1.08,0.03,18.65,8.47,2017.0,Gadchiroli
98.11,27.48,12.19,1.71,46.63,7.01,0.52,49.21,3.29,1.02,0.03,17.71,8.06,2018.0,Gadchiroli
96.87,26.64,11.55,1.96,47.42,7.9,0.53,56.46,3.58,1.05,0.03,17.93,8.15,2001.0,Gondia
96.9,27.45,10.89,2.12,46.9,8.1,0.56,51.66,2.88,1.09,0.03,18.68,8.47,2002.0,Gondia
96.92,26.97,11.83,2.07,47.78,7.14,0.54,57.15,4.2,1.07,0.03,18.02,8.21,2003.0,Gondia
96.93,27.05,11.52,1.95,46.17,7.35,0.56,49.57,2.8,1.1,0.03,18.87,8.55,2004.0,Gondia
96.91,26.64,11.45,1.96,46.62,8.24,0.54,54.29,4.29,1.06,0.03,18.16,8.21,2005.0,Gondia
96.92,27.13,12.02,1.94,46.32,8.06,0.54,52.09,3.56,1.07,0.03,18.21,8.27,2006.0,Gondia
96.89,27.15,11.36,1.97,46.15,9.56,0.55,52.24,3.57,1.07,0.03,18.48,8.36,2007.0,Gondia
96.88,26.73,11.37,1.92,45.73,7.2,0.55,52.93,3.14,1.06,0.03,18.33,8.28,2008.0,Gondia
96.88,27.92,11.29,1.93,46.62,9.77,0.56,50.12,3.27,1.09,0.03,18.85,8.48,2009.0,Gondia
96.87,27.73,11.94,1.92,47.42,6.68,0.54,54.92,4.21,1.07,0.03,18.26,8.28,2010.0,Gondia
96.87,26.68,11.86,1.84,45.64,5.33,0.54,49.4,3.79,1.05,0.03,18.23,8.24,2011.0,Gondia
96.85,26.91,11.19,2.02,47.14,5.33,0.53,53.06,4.11,1.03,0.03,17.86,8.05,2012.0,Gondia
96.86,26.71,12.33,2.0,47.91,7.77,0.51,55.83,5.22,1.0,0.03,17.17,7.78,2013.0,Gondia
96.97,27.03,11.92,2.05,48.12,7.24,0.54,55.2,3.24,1.04,0.03,18.0,8.14,2014.0,Gondia
97.04,26.89,12.3,1.92,47.04,7.1,0.54,53.33,3.63,1.03,0.03,18.03,8.12,2015.0,Gondia
96.93,27.36,11.72,1.92,46.96,6.69,0.53,55.55,3.12,1.03,0.03,17.9,8.06,2016.0,Gondia
96.92,27.75,11.31,1.88,46.81,6.89,0.56,46.19,2.86,1.07,0.03,18.76,8.42,2017.0,Gondia
96.93,27.18,11.22,1.95,46.1,5.29,0.53,45.32,2.96,1.02,0.03,17.95,8.07,2018.0,Gondia
95.85,27.48,11.02,2.43,45.68,10.34,0.55,52.77,2.19,1.09,0.03,18.58,8.47,2001.0,Hingoli
95.89,28.25,10.62,2.57,45.32,8.78,0.56,47.29,2.07,1.11,0.03,19.14,8.72,2002.0,Hingoli
95.89,28.28,11.11,2.59,45.12,9.47,0.56,52.22,2.0,1.12,0.03,19.15,8.71,2003.0,Hingoli
95.9,27.73,11.13,2.47,44.22,9.2,0.58,46.54,1.99,1.15,0.03,19.57,8.91,2004.0,Hingoli
95.88,27.01,11.39,2.47,45.01,9.24,0.56,49.71,2.92,1.11,0.03,18.93,8.61,2005.0,Hingoli
95.9,26.72,12.14,2.33,44.35,8.39,0.55,51.08,3.64,1.09,0.03,18.71,8.51,2006.0,Hingoli
95.85,27.41,11.3,2.35,44.39,10.44,0.57,50.96,2.36,1.12,0.03,19.33,8.77,2007.0,Hingoli
95.85,27.49,11.08,2.41,44.39,9.45,0.55,50.85,2.08,1.08,0.03,18.77,8.5,2008.0,Hingoli
95.86,28.16,11.18,2.44,44.49,10.55,0.57,49.44,2.3,1.11,0.03,19.23,8.68,2009.0,Hingoli
95.84,27.79,12.34,2.39,45.72,7.86,0.54,55.39,3.0,1.08,0.03,18.43,8.4,2010.0,Hingoli
95.83,27.37,11.47,2.41,43.81,7.2,0.55,49.62,2.18,1.09,0.03,18.88,8.54,2011.0,Hingoli
95.84,27.82,10.89,2.55,43.86,8.97,0.55,52.92,2.11,1.08,0.03,18.74,8.46,2012.0,Hingoli
95.84,27.24,12.09,2.59,44.69,9.87,0.52,53.66,2.94,1.03,0.03,17.74,8.04,2013.0,Hingoli
95.95,28.08,11.53,2.45,44.48,8.38,0.55,52.74,2.04,1.07,0.03,18.66,8.45,2014.0,Hingoli
95.99,28.37,11.42,2.44,45.65,8.41,0.55,50.41,2.15,1.08,0.03,18.82,8.51,2015.0,Hingoli
95.91,28.0,11.05,2.42,45.25,9.01,0.55,52.33,2.23,1.07,0.03,18.68,8.43,2016.0,Hingoli
95.9,28.39,10.64,2.39,44.48,9.37,0.57,49.62,1.82,1.1,0.03,19.25,8.65,2017.0,Hingoli
95.91,28.44,10.27,2.38,44.43,7.02,0.54,49.36,1.87,1.04,0.03,18.38,8.25,2018.0,Hingoli
97.14,28.08,10.65,2.48,46.39,7.95,0.57,40.27,1.69,1.11,0.03,19.15,8.67,2001.0,Jalgaon
97.19,28.58,10.37,2.67,47.35,8.48,0.57,36.67,1.71,1.1,0.03,19.2,8.69,2002.0,Jalgaon
97.2,28.08,11.3,2.58,45.54,7.63,0.57,40.24,2.18,1.1,0.03,19.06,8.62,2003.0,Jalgaon
97.2,27.98,11.09,2.52,45.37,9.35,0.57,41.09,1.91,1.11,0.03,19.26,8.73,2004.0,Jalgaon
97.18,27.12,11.05,2.44,45.37,8.35,0.57,39.59,2.71,1.11,0.03,19.3,8.7,2005.0,Jalgaon
97.19,27.31,11.94,2.33,45.57,8.64,0.56,41.2,3.24,1.08,0.03,18.71,8.48,2006.0,Jalgaon
97.14,27.63,11.4,2.29,45.75,10.45,0.58,40.39,2.33,1.11,0.03,19.34,8.74,2007.0,Jalgaon
97.14,27.94,10.8,2.46,45.36,7.41,0.56,40.87,1.73,1.07,0.03,18.82,8.47,2008.0,Jalgaon
97.16,28.44,11.25,2.47,46.13,10.42,0.58,37.33,2.2,1.11,0.03,19.37,8.71,2009.0,Jalgaon
97.13,27.96,12.4,2.34,46.96,8.41,0.56,44.36,2.59,1.1,0.03,18.99,8.61,2010.0,Jalgaon
97.12,27.66,11.2,2.36,44.52,6.77,0.56,38.64,2.06,1.07,0.03,18.78,8.46,2011.0,Jalgaon
97.14,27.85,10.79,2.59,44.23,7.5,0.55,42.24,1.84,1.06,0.03,18.65,8.38,2012.0,Jalgaon
97.14,27.12,12.01,2.64,45.66,7.54,0.53,45.32,2.71,1.02,0.03,17.72,8.0,2013.0,Jalgaon
97.25,28.16,11.43,2.49,45.85,7.33,0.56,41.08,1.92,1.08,0.03,18.86,8.5,2014.0,Jalgaon
97.3,28.03,11.56,2.36,45.81,7.58,0.55,41.95,2.42,1.06,0.03,18.58,8.36,2015.0,Jalgaon
97.22,28.05,10.83,2.43,47.53,7.67,0.56,44.09,2.08,1.07,0.03,18.67,8.39,2016.0,Jalgaon
97.21,27.92,10.97,2.36,45.16,7.85,0.56,42.78,2.24,1.08,0.03,18.91,8.48,2017.0,Jalgaon
97.2,28.69,9.99,2.44,45.98,6.24,0.55,41.37,1.52,1.04,0.03,18.52,8.29,2018.0,Jalgaon
94.56,26.9,10.47,2.63,44.31,9.85,0.57,44.74,1.73,1.12,0.03,19.33,8.75,2001.0,Jalna
94.61,27.62,10.19,2.77,44.75,8.85,0.57,41.71,1.68,1.12,0.03,19.36,8.77,2002.0,Jalna
94.6,27.62,10.72,2.75,43.89,8.46,0.58,43.96,1.68,1.15,0.03,19.71,8.91,2003.0,Jalna
94.62,26.89,10.83,2.66,42.89,9.34,0.58,42.22,1.9,1.15,0.03,19.76,8.95,2004.0,Jalna
94.59,26.03,10.91,2.62,43.39,9.1,0.57,45.14,2.84,1.12,0.03,19.24,8.7,2005.0,Jalna
94.61,26.13,11.59,2.49,43.03,8.5,0.56,45.71,3.33,1.1,0.03,19.0,8.59,2006.0,Jalna
94.56,26.51,11.17,2.48,43.41,10.22,0.58,43.5,2.26,1.13,0.03,19.6,8.85,2007.0,Jalna
94.56,26.9,10.66,2.62,43.07,8.36,0.57,43.59,1.73,1.1,0.03,19.23,8.66,2008.0,Jalna
94.58,27.28,10.94,2.6,43.55,9.68,0.57,42.54,2.16,1.12,0.03,19.47,8.75,2009.0,Jalna
94.55,26.84,12.11,2.47,44.87,7.47,0.55,50.29,2.58,1.1,0.03,18.85,8.56,2010.0,Jalna
94.54,26.54,11.0,2.52,42.83,6.81,0.56,42.92,2.01,1.1,0.03,19.12,8.6,2011.0,Jalna
94.55,27.12,10.43,2.75,41.98,8.29,0.56,44.8,1.67,1.1,0.03,19.12,8.58,2012.0,Jalna
94.55,26.36,11.6,2.79,43.37,8.22,0.54,47.49,2.38,1.05,0.03,18.26,8.23,2013.0,Jalna
94.66,27.02,11.31,2.61,42.84,7.5,0.56,45.58,1.86,1.09,0.03,18.97,8.55,2014.0,Jalna
94.7,27.38,11.15,2.51,43.67,8.33,0.56,44.57,2.2,1.09,0.03,19.06,8.58,2015.0,Jalna
94.63,26.86,10.76,2.56,44.36,8.46,0.55,47.22,2.2,1.08,0.03,18.88,8.48,2016.0,Jalna
94.62,26.82,10.74,2.51,42.78,8.75,0.57,46.89,2.33,1.1,0.03,19.33,8.65,2017.0,Jalna
94.62,27.67,9.86,2.58,43.75,6.5,0.55,45.62,1.51,1.05,0.03,18.61,8.32,2018.0,Jalna
94.02,25.8,12.33,3.2,43.07,12.71,0.55,51.86,2.29,1.13,0.03,19.05,8.68,2001.0,Kolhapur
94.07,26.45,12.44,3.02,42.66,10.67,0.56,49.88,2.27,1.14,0.03,19.32,8.81,2002.0,Kolhapur
94.06,26.85,12.42,2.99,41.83,12.35,0.57,51.01,1.97,1.15,0.03,19.55,8.91,2003.0,Kolhapur
94.07,25.77,12.42,3.09,42.28,11.7,0.56,47.43,2.67,1.15,0.03,19.41,8.85,2004.0,Kolhapur
94.04,25.39,12.76,3.01,42.19,11.2,0.55,51.47,3.82,1.12,0.03,18.95,8.63,2005.0,Kolhapur
94.05,25.3,12.92,3.15,41.32,10.66,0.55,51.53,4.09,1.12,0.03,18.94,8.63,2006.0,Kolhapur
94.0,25.65,13.03,2.96,41.86,10.41,0.55,51.6,3.92,1.11,0.03,18.88,8.61,2007.0,Kolhapur
94.01,25.38,12.74,3.01,41.12,10.53,0.56,49.54,2.78,1.12,0.03,19.21,8.73,2008.0,Kolhapur
94.03,26.13,12.96,2.99,42.26,12.42,0.54,50.42,3.15,1.1,0.03,18.83,8.55,2009.0,Kolhapur
94.0,26.05,13.8,2.91,41.41,10.46,0.53,56.96,3.44,1.09,0.03,18.36,8.4,2010.0,Kolhapur
93.99,25.49,12.64,3.2,40.45,10.77,0.55,49.06,3.08,1.09,0.03,18.84,8.51,2011.0,Kolhapur
94.01,26.11,12.24,3.05,41.68,10.98,0.55,49.72,2.35,1.12,0.03,19.12,8.64,2012.0,Kolhapur
94.01,25.76,12.86,3.18,41.08,10.77,0.54,50.68,2.95,1.09,0.03,18.58,8.43,2013.0,Kolhapur
94.09,26.01,12.9,2.93,40.73,11.57,0.54,52.38,2.82,1.08,0.03,18.51,8.39,2014.0,Kolhapur
94.13,26.58,12.72,2.84,41.74,9.82,0.56,50.79,2.01,1.12,0.03,19.19,8.71,2015.0,Kolhapur
94.09,25.82,12.46,2.96,42.77,10.6,0.54,51.53,4.29,1.08,0.03,18.53,8.39,2016.0,Kolhapur
94.06,25.72,12.73,2.84,42.04,11.46,0.56,50.57,3.41,1.12,0.03,19.22,8.68,2017.0,Kolhapur
94.07,25.59,12.47,2.81,41.8,10.65,0.53,51.11,3.58,1.06,0.03,18.45,8.33,2018.0,Kolhapur
94.67,26.96,11.16,2.62,44.31,9.56,0.55,51.92,2.17,1.11,0.03,18.86,8.57,2001.0,Latur
94.72,27.8,10.87,2.65,43.57,8.75,0.57,47.19,2.02,1.14,0.03,19.39,8.81,2002.0,Latur
94.71,28.18,11.09,2.71,43.94,9.77,0.57,51.74,1.67,1.15,0.03,19.48,8.85,2003.0,Latur
94.73,26.89,11.49,2.62,43.22,9.3,0.58,46.33,2.2,1.16,0.03,19.75,8.97,2004.0,Latur
94.7,26.45,11.68,2.6,43.59,9.2,0.56,49.54,2.94,1.12,0.03,19.1,8.67,2005.0,Latur
94.72,26.33,12.11,2.53,43.0,8.29,0.56,49.71,2.84,1.12,0.03,19.01,8.62,2006.0,Latur
94.67,27.13,11.36,2.5,43.56,10.28,0.57,49.03,2.18,1.14,0.03,19.49,8.83,2007.0,Latur
94.67,26.77,11.43,2.59,43.32,8.9,0.56,48.99,2.49,1.11,0.03,19.23,8.69,2008.0,Latur
94.68,27.54,11.34,2.59,43.67,9.94,0.57,48.02,2.19,1.13,0.03,19.51,8.8,2009.0,Latur
94.66,27.39,12.38,2.47,44.58,8.2,0.55,55.85,2.86,1.1,0.03,18.65,8.49,2010.0,Latur
94.65,27.16,11.34,2.66,42.95,7.78,0.56,47.26,1.85,1.11,0.03,19.13,8.62,2011.0,Latur
94.65,27.62,10.83,2.66,43.29,9.73,0.56,51.23,1.83,1.11,0.03,19.06,8.58,2012.0,Latur
94.66,26.91,12.13,2.72,43.55,9.95,0.53,52.96,2.64,1.06,0.03,18.29,8.27,2013.0,Latur
94.76,27.54,11.7,2.54,42.97,8.38,0.55,51.85,2.06,1.09,0.03,18.82,8.49,2014.0,Latur
94.8,28.32,11.29,2.57,44.54,8.91,0.56,49.74,1.61,1.1,0.03,19.09,8.6,2015.0,Latur
94.73,27.6,11.07,2.53,43.55,9.76,0.54,51.3,2.09,1.07,0.03,18.62,8.37,2016.0,Latur
94.72,27.94,10.67,2.47,43.68,9.27,0.57,50.54,1.74,1.12,0.03,19.41,8.7,2017.0,Latur
94.72,28.29,10.25,2.58,43.57,7.24,0.54,49.39,1.35,1.05,0.03,18.55,8.31,2018.0,Latur
99.75,27.5,14.22,2.64,42.66,13.01,0.57,47.1,5.1,1.15,0.03,19.39,8.98,2001.0,Mumbai City
99.8,28.27,13.82,2.65,44.19,11.23,0.57,46.55,3.62,1.15,0.03,19.46,9.02,2002.0,Mumbai City
99.78,28.17,14.36,2.58,43.25,12.91,0.57,47.05,5.38,1.15,0.03,19.46,9.01,2003.0,Mumbai City
99.79,27.7,14.16,2.67,44.85,13.92,0.56,49.51,6.34,1.14,0.03,19.14,8.88,2004.0,Mumbai City
99.78,27.34,14.1,2.59,43.54,12.21,0.56,46.32,8.77,1.14,0.03,19.2,8.87,2005.0,Mumbai City
99.78,27.57,14.66,2.64,42.55,12.53,0.55,47.51,9.13,1.12,0.03,18.95,8.77,2006.0,Mumbai City
99.72,27.82,14.57,2.61,44.89,14.06,0.55,46.18,7.36,1.13,0.03,18.98,8.8,2007.0,Mumbai City
99.73,27.41,14.11,2.56,43.2,10.42,0.56,43.86,7.1,1.12,0.03,19.15,8.83,2008.0,Mumbai City
99.75,28.19,14.46,2.56,44.18,12.89,0.56,44.69,6.18,1.12,0.03,18.99,8.77,2009.0,Mumbai City
99.71,27.77,15.57,2.39,43.04,12.51,0.54,50.46,8.51,1.09,0.03,18.34,8.52,2010.0,Mumbai City
99.7,27.25,14.52,2.6,41.98,11.45,0.55,43.59,7.05,1.09,0.03,18.71,8.61,2011.0,Mumbai City
99.74,27.35,13.99,2.61,42.93,11.18,0.56,43.28,4.96,1.13,0.03,19.32,8.88,2012.0,Mumbai City
99.74,27.32,14.62,2.59,41.53,12.01,0.55,44.38,6.76,1.11,0.03,18.84,8.69,2013.0,Mumbai City
99.82,28.04,14.23,2.57,43.51,11.8,0.55,43.86,6.39,1.11,0.03,18.96,8.73,2014.0,Mumbai City
99.87,27.93,14.57,2.47,43.45,12.72,0.56,44.9,4.69,1.11,0.03,19.09,8.79,2015.0,Mumbai City
99.83,27.51,14.2,2.56,42.68,13.04,0.54,45.2,8.09,1.09,0.03,18.57,8.55,2016.0,Mumbai City
99.79,27.68,14.41,2.44,44.11,12.13,0.56,44.19,8.02,1.11,0.03,19.11,8.77,2017.0,Mumbai City
99.79,27.79,13.96,2.45,42.99,12.27,0.54,44.38,5.64,1.06,0.03,18.49,8.48,2018.0,Mumbai City
99.75,27.5,14.22,2.64,42.66,13.01,0.56,47.55,5.1,1.13,0.03,19.2,8.86,2001.0,Mumbai Suburban
99.8,28.27,13.82,2.65,44.19,11.23,0.57,46.34,3.62,1.14,0.03,19.36,8.93,2002.0,Mumbai Suburban
99.78,28.17,14.36,2.58,43.25,12.91,0.57,46.25,5.38,1.14,0.03,19.39,8.94,2003.0,Mumbai Suburban
99.79,27.7,14.16,2.67,44.85,13.92,0.56,49.54,6.34,1.13,0.03,19.1,8.82,2004.0,Mumbai Suburban
99.78,27.34,14.1,2.59,43.54,12.21,0.56,46.54,8.77,1.13,0.03,19.15,8.81,2005.0,Mumbai Suburban
99.78,27.57,14.66,2.64,42.55,12.53,0.56,46.7,9.13,1.11,0.03,18.9,8.72,2006.0,Mumbai Suburban
99.72,27.82,14.57,2.61,44.89,14.06,0.56,46.81,7.36,1.12,0.03,19.1,8.81,2007.0,Mumbai Suburban
99.73,27.41,14.11,2.56,43.2,10.42,0.55,46.8,7.1,1.09,0.03,18.85,8.65,2008.0,Mumbai Suburban
99.75,28.19,14.46,2.56,44.18,12.89,0.56,47.29,6.18,1.11,0.03,19.07,8.76,2009.0,Mumbai Suburban
99.71,27.77,15.57,2.39,43.04,12.51,0.54,52.39,8.51,1.09,0.03,18.47,8.55,2010.0,Mumbai Suburban
99.7,27.25,14.52,2.6,41.98,11.45,0.55,45.62,7.05,1.08,0.03,18.66,8.56,2011.0,Mumbai Suburban
99.74,27.35,13.99,2.61,42.93,11.18,0.57,47.03,4.96,1.12,0.03,19.24,8.81,2012.0,Mumbai Suburban
99.74,27.32,14.62,2.59,41.53,12.01,0.54,48.0,6.76,1.08,0.03,18.53,8.51,2013.0,Mumbai Suburban
99.82,28.04,14.23,2.57,43.51,11.8,0.56,45.78,6.39,1.11,0.03,19.05,8.75,2014.0,Mumbai Suburban
99.87,27.93,14.57,2.47,43.45,12.72,0.56,48.95,4.69,1.1,0.03,18.96,8.7,2015.0,Mumbai Suburban
