YEAR,DISTRICT,AREA,YIELD,PS,TS,QV2M,WS2M,T2M_MAX,T2M_MIN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,Nitrogen(N),Phosphorous(P),Potassium(K),Soil Type,Soil Depth
2013,Guna,247.13,600.0,95.3,24.56,11.09,2.26,45.6,2.43,0.54,46.13,4.16,1.02,0.03,17.69,7.98,Medium ,High,High,Black,100-300
2014,Guna,143.0,1587.0,95.39,25.54,10.41,2.45,46.73,3.14,0.57,43.92,2.6,1.08,0.03,18.72,8.45,Medium ,High,High,Black,100-300
2015,Guna,237.0,608.0,95.44,25.14,10.68,2.33,45.52,4.07,0.56,42.83,2.88,1.05,0.03,18.33,8.27,Medium ,High,High,Black,100-300
2016,Guna,210.0,819.0,95.35,25.6,10.43,2.22,47.35,4.73,0.56,45.1,3.23,1.06,0.03,18.46,8.31,Medium ,High,High,Black,100-300
2017,Guna,182.5,825.0,95.34,26.39,9.79,2.31,46.04,3.16,0.57,43.25,1.79,1.07,0.03,18.67,8.4,Medium ,High,High,Black,100-300
2001,Datia,1.8,1056.0,98.19,26.62,9.96,1.97,47.34,5.06,0.56,42.21,2.25,1.04,0.03,18.32,8.25,Medium,Low,Medium,Black,100-300
2002,Datia,0.5,600.0,98.2,28.03,8.95,2.19,47.82,5.7,0.57,39.92,1.49,1.03,0.03,18.52,8.32,Medium,Low,Medium,Black,100-300
2003,Datia,0.6,833.0,98.25,26.9,10.19,1.99,47.94,4.59,0.54,46.23,1.88,1.0,0.03,17.69,7.97,Medium,Low,Medium,Black,100-300
2004,Datia,0.76,684.0,98.23,27.33,9.95,2.1,46.87,4.89,0.56,41.48,1.77,1.03,0.03,18.36,8.25,Medium,Low,Medium,Black,100-300
2005,Datia,0.79,886.0,98.22,26.96,9.83,2.12,47.08,5.56,0.56,40.91,1.8,1.02,0.03,18.29,8.18,Medium,Low,Medium,Black,100-300
2006,Datia,0.42,810.0,98.21,27.98,10.07,2.1,47.53,6.18,0.56,43.17,1.7,1.03,0.03,18.2,8.19,Medium,Low,Medium,Black,100-300
2007,Datia,0.4,500.0,98.2,27.42,9.94,2.08,46.88,6.43,0.56,39.4,1.71,1.02,0.03,18.23,8.18,Medium,Low,Medium,Black,100-300
2008,Datia,0.3,667.0,98.21,25.9,11.01,1.88,44.83,3.96,0.54,44.17,2.62,0.98,0.03,17.61,7.91,Medium,Low,Medium,Black,100-300
2009,Datia,0.3,667.0,98.2,27.93,10.02,2.09,46.62,6.72,0.57,39.25,1.6,1.04,0.03,18.53,8.31,Medium,Low,Medium,Black,100-300
2010,Datia,0.3,1000.0,98.2,27.18,10.75,1.89,47.57,5.54,0.56,42.74,2.29,1.02,0.03,18.24,8.2,Medium,Low,Medium,Black,100-300
2011,Datia,0.32,625.0,98.19,25.81,11.19,1.84,47.17,3.08,0.55,37.73,2.93,1.02,0.03,18.13,8.17,Medium,Low,Medium,Black,100-300
2012,Datia,0.8,913.0,98.17,26.2,9.96,2.08,48.17,3.64,0.55,42.16,2.04,1.0,0.03,17.92,8.02,Medium,Low,Medium,Black,100-300
2013,Datia,1.77,819.0,98.21,25.59,11.32,1.96,47.75,1.91,0.53,43.13,3.08,0.98,0.03,17.41,7.82,Medium,Low,Medium,Black,100-300
2014,Datia,11.0,1273.0,98.29,26.39,10.46,2.02,48.87,4.8,0.56,41.48,2.22,1.03,0.03,18.2,8.2,Medium,Low,Medium,Black,100-300
2015,Datia,9.0,778.0,98.35,26.51,10.65,1.96,46.69,4.78,0.56,39.56,2.38,1.02,0.03,18.23,8.17,Medium,Low,Medium,Black,100-300
2016,Datia,7.0,571.0,98.24,27.11,10.52,1.88,47.84,5.0,0.54,43.4,2.22,0.98,0.03,17.67,7.91,Medium,Low,Medium,Black,100-300
2017,Datia,6.7,854.0,98.22,27.97,9.75,2.0,47.9,3.66,0.55,43.98,1.48,1.01,0.03,18.06,8.09,Medium,Low,Medium,Black,100-300
2001,Morena,0.2,1500.0,98.67,27.07,9.22,1.91,48.2,4.43,0.59,37.34,1.75,1.1,0.03,19.23,8.68,High,Medium,High,Alluvial,300
2002,Morena,0.2,500.0,98.69,28.0,8.48,2.09,48.04,3.44,0.6,36.09,1.34,1.1,0.03,19.56,8.79,High,Medium,High,Alluvial,300
2003,Morena,0.2,1000.0,98.74,26.91,9.63,1.88,48.14,3.93,0.57,43.21,1.58,1.06,0.03,18.5,8.36,High,Medium,High,Alluvial,300
2004,Morena,0.2,1150.0,98.72,27.41,9.61,2.1,47.3,4.43,0.59,38.86,1.6,1.09,0.03,19.24,8.67,High,Medium,High,Alluvial,300
2005,Morena,0.35,1486.0,98.72,27.0,9.35,2.06,47.41,4.69,0.59,37.41,1.51,1.09,0.03,19.11,8.57,High,Medium,High,Alluvial,300
2006,Morena,0.28,1143.0,98.71,28.13,9.64,2.14,47.24,3.63,0.58,40.05,1.34,1.08,0.03,18.83,8.5,High,Medium,High,Alluvial,300
2007,Morena,0.2,1500.0,98.69,27.61,9.53,2.11,47.41,4.0,0.58,37.27,1.35,1.08,0.03,18.89,8.52,High,Medium,High,Alluvial,300
2008,Morena,0.2,1500.0,98.69,25.99,10.73,1.82,45.02,2.71,0.57,40.61,2.4,1.04,0.03,18.39,8.3,High,Medium,High,Alluvial,300
2009,Morena,0.2,1500.0,98.69,27.87,9.61,2.05,47.07,5.44,0.6,35.61,1.56,1.1,0.03,19.37,8.72,High,Medium,High,Alluvial,300
2010,Morena,0.3,1333.0,98.69,27.12,10.42,1.87,48.24,4.14,0.58,40.42,2.04,1.07,0.03,18.73,8.45,High,Medium,High,Alluvial,300
2011,Morena,0.4,1000.0,98.68,26.0,10.75,1.83,47.67,1.81,0.58,35.21,2.2,1.07,0.03,18.84,8.52,High,Medium,High,Alluvial,300
2012,Morena,0.34,1265.0,98.67,25.92,9.53,2.06,48.46,1.83,0.57,38.32,2.17,1.05,0.03,18.64,8.37,High,Medium,High,Alluvial,300
2013,Morena,0.45,1356.0,98.72,25.43,10.93,1.93,47.64,0.74,0.57,38.79,2.8,1.05,0.03,18.49,8.35,High,Medium,High,Alluvial,300
2014,Morena,11.0,1000.0,98.79,26.51,9.83,1.97,49.28,4.09,0.58,37.39,1.92,1.09,0.03,18.97,8.58,High,Medium,High,Alluvial,300
2015,Morena,3.0,1333.0,98.85,26.67,9.94,1.89,46.7,3.67,0.58,36.01,1.91,1.07,0.03,18.93,8.52,High,Medium,High,Alluvial,300
2016,Morena,0.0,0.0,98.73,27.26,9.98,1.79,47.63,4.53,0.58,38.95,2.02,1.06,0.03,18.69,8.42,High,Medium,High,Alluvial,300
2017,Morena,1.7,1665.0,98.72,27.85,9.4,1.95,47.33,3.14,0.58,47.71,1.39,1.06,0.03,18.7,8.42,High,Medium,High,Alluvial,300
2001,Bhind,0.1,1000.0,98.97,27.28,9.31,1.91,48.05,3.73,0.57,38.73,1.67,1.04,0.03,18.45,8.3,High,Low,High,Alluvial,300
2002,Bhind,0.0,0.0,98.98,28.07,8.61,2.05,48.4,4.34,0.57,38.04,1.29,1.03,0.03,18.66,8.36,High,Low,High,Alluvial,300
2003,Bhind,0.0,0.0,99.04,27.05,9.72,1.87,48.13,3.76,0.54,45.54,1.53,0.99,0.03,17.65,7.96,High,Low,High,Alluvial,300
2004,Bhind,0.17,765.0,99.01,27.42,9.74,2.11,47.31,4.65,0.57,40.46,1.58,1.03,0.03,18.37,8.25,High,Low,High,Alluvial,300
2005,Bhind,0.08,875.0,99.01,27.18,9.52,2.07,47.9,4.92,0.57,39.28,1.45,1.02,0.03,18.43,8.23,High,Low,High,Alluvial,300
2006,Bhind,0.03,667.0,99.0,28.28,9.73,2.16,47.31,4.23,0.56,40.24,1.32,1.03,0.03,18.3,8.22,High,Low,High,Alluvial,300
2007,Bhind,0.0,0.0,98.99,27.76,9.72,2.14,47.85,4.48,0.56,38.3,1.32,1.01,0.03,18.18,8.16,High,Low,High,Alluvial,300
2008,Bhind,0.0,0.0,98.99,26.07,10.89,1.8,45.27,3.71,0.54,40.88,2.31,0.97,0.02,17.54,7.88,High,Low,High,Alluvial,300
2009,Bhind,0.0,0.0,98.99,27.95,9.73,2.04,47.15,5.44,0.57,36.93,1.51,1.03,0.03,18.52,8.3,High,Low,High,Alluvial,300
2010,Bhind,0.0,0.0,98.99,27.26,10.45,1.87,48.32,4.33,0.55,42.53,1.95,1.0,0.03,17.92,8.05,High,Low,High,Alluvial,300
2011,Bhind,0.0,0.0,98.97,26.16,10.85,1.8,47.41,1.78,0.55,36.33,2.13,1.0,0.03,17.94,8.08,High,Low,High,Alluvial,300
2012,Bhind,0.0,0.0,98.96,26.1,9.66,2.1,48.93,1.7,0.56,38.93,2.13,1.0,0.03,18.1,8.09,High,Low,High,Alluvial,300
2013,Bhind,0.12,1167.0,99.01,25.63,11.05,1.97,48.09,0.69,0.54,39.86,2.77,0.98,0.02,17.61,7.91,High,Low,High,Alluvial,300
2014,Bhind,11.0,909.0,99.08,26.72,9.83,2.0,49.39,3.44,0.56,40.14,1.87,1.02,0.03,18.14,8.16,High,Low,High,Alluvial,300
2015,Bhind,1.0,1000.0,99.14,26.68,10.09,1.88,46.97,3.62,0.56,38.33,2.06,1.01,0.02,18.18,8.14,High,Low,High,Alluvial,300
2016,Bhind,0.0,0.0,99.02,27.31,10.1,1.8,47.59,4.03,0.55,40.71,1.97,0.98,0.03,17.8,7.97,High,Low,High,Alluvial,300
2017,Bhind,0.5,2000.0,99.01,27.76,9.68,1.92,47.43,2.66,0.55,45.78,1.58,0.99,0.03,17.83,7.99,High,Low,High,Alluvial,300
2001,Indore,220.4,979.0,96.26,27.57,9.79,2.61,45.48,7.02,0.57,42.26,1.35,1.1,0.03,19.08,8.6,Medium ,Medium,Medium,Black,100-300
2002,Indore,219.6,756.0,96.31,27.55,9.83,2.81,46.9,7.85,0.57,38.08,1.71,1.1,0.03,19.22,8.65,Medium ,Medium,Medium,Black,100-300
2003,Indore,218.5,1078.0,96.32,26.51,11.08,2.67,44.76,7.24,0.57,41.55,3.09,1.09,0.03,18.97,8.55,Medium ,Medium,Medium,Black,100-300
2004,Indore,220.15,1084.0,96.32,26.97,10.64,2.6,44.69,8.57,0.57,42.08,2.15,1.1,0.03,19.15,8.63,Medium ,Medium,Medium,Black,100-300
2005,Indore,209.91,1126.0,96.29,26.93,10.07,2.58,44.8,8.36,0.58,41.73,2.14,1.11,0.03,19.29,8.66,Medium ,Medium,Medium,Black,100-300
2006,Indore,224.19,1231.0,96.3,26.75,11.21,2.5,45.41,8.75,0.56,42.95,3.01,1.07,0.03,18.56,8.38,Medium ,Medium,Medium,Black,100-300
2007,Indore,226.0,1395.0,96.27,26.85,10.83,2.41,45.24,10.22,0.57,43.95,2.48,1.1,0.03,19.09,8.6,Medium ,Medium,Medium,Black,100-300
2008,Indore,221.0,1517.0,96.26,27.24,10.11,2.62,44.57,6.73,0.56,46.44,1.49,1.06,0.03,18.6,8.34,Medium ,Medium,Medium,Black,100-300
2009,Indore,226.8,1770.0,96.28,27.59,10.89,2.63,45.82,8.71,0.58,40.13,2.53,1.09,0.03,19.22,8.61,Medium ,Medium,Medium,Black,100-300
2010,Indore,223.1,862.0,96.26,27.28,11.67,2.47,46.25,7.62,0.57,45.86,2.39,1.09,0.03,18.88,8.51,Medium ,Medium,Medium,Black,100-300
2011,Indore,219.6,1161.0,96.25,26.75,10.83,2.52,44.37,5.54,0.55,43.35,2.48,1.05,0.03,18.46,8.3,Medium ,Medium,Medium,Black,100-300
2012,Indore,228.18,1454.0,96.26,26.62,10.4,2.79,43.93,6.08,0.55,46.68,2.29,1.05,0.03,18.44,8.27,Medium ,Medium,Medium,Black,100-300
2013,Indore,231.22,1007.0,96.27,25.92,11.53,2.7,45.41,6.41,0.52,49.01,3.74,0.99,0.03,17.29,7.78,Medium ,Medium,Medium,Black,100-300
2014,Indore,222.0,1059.0,96.37,27.12,10.87,2.71,45.56,6.52,0.56,44.71,2.2,1.06,0.03,18.63,8.37,Medium ,Medium,Medium,Black,100-300
2015,Indore,223.0,762.0,96.42,26.87,10.97,2.6,45.94,6.65,0.54,45.24,3.13,1.03,0.03,18.13,8.14,Medium ,Medium,Medium,Black,100-300
2016,Indore,221.0,1588.0,96.34,26.67,10.66,2.57,47.76,6.32,0.55,48.25,2.63,1.05,0.03,18.49,8.28,Medium ,Medium,Medium,Black,100-300
2017,Indore,216.9,915.0,96.33,26.72,10.65,2.51,44.68,5.83,0.56,42.16,2.4,1.06,0.03,18.75,8.39,Medium ,Medium,Medium,Black,100-300
2001,Ratlam,178.4,625.0,95.84,26.92,9.38,2.62,44.4,7.1,0.57,40.14,1.47,1.09,0.03,18.98,8.54,Medium ,Medium,High,Mixed Red & Black,50-100
2002,Ratlam,165.0,429.0,95.89,27.19,9.26,2.79,46.13,5.79,0.58,35.9,1.46,1.11,0.03,19.39,8.71,Medium ,Medium,High,Mixed Red & Black,50-100
2003,Ratlam,158.4,1148.0,95.9,26.09,10.6,2.69,44.05,6.59,0.57,39.03,2.46,1.08,0.03,18.85,8.48,Medium ,Medium,High,Mixed Red & Black,50-100
2004,Ratlam,178.66,647.0,95.9,26.56,10.25,2.59,44.07,7.11,0.58,38.95,2.08,1.1,0.03,19.21,8.65,Medium ,Medium,High,Mixed Red & Black,50-100
2005,Ratlam,181.81,966.0,95.88,26.15,9.8,2.51,43.93,5.47,0.58,39.61,2.06,1.11,0.03,19.3,8.64,Medium ,Medium,High,Mixed Red & Black,50-100
2006,Ratlam,188.53,1170.0,95.88,26.42,10.86,2.51,44.9,7.51,0.57,39.77,2.86,1.08,0.03,18.75,8.45,Medium ,Medium,High,Mixed Red & Black,50-100
2007,Ratlam,197.6,1193.0,95.85,26.46,10.45,2.45,44.84,8.95,0.58,40.03,2.27,1.11,0.03,19.21,8.65,Medium ,Medium,High,Mixed Red & Black,50-100
2008,Ratlam,204.7,1102.0,95.85,26.53,9.97,2.65,43.6,5.13,0.57,43.22,1.6,1.07,0.03,18.81,8.43,Medium ,Medium,High,Mixed Red & Black,50-100
2009,Ratlam,208.2,922.0,95.87,27.05,10.59,2.6,45.24,9.13,0.58,36.61,2.2,1.1,0.03,19.32,8.66,Medium ,Medium,High,Mixed Red & Black,50-100
2010,Ratlam,210.7,895.0,95.84,26.83,11.22,2.48,46.56,7.4,0.58,41.08,2.38,1.1,0.03,19.09,8.59,Medium ,Medium,High,Mixed Red & Black,50-100
2011,Ratlam,212.0,1260.0,95.83,26.17,10.67,2.53,44.53,4.91,0.56,38.26,2.52,1.07,0.03,18.64,8.39,Medium ,Medium,High,Mixed Red & Black,50-100
2012,Ratlam,224.53,1500.0,95.85,25.74,10.18,2.74,43.01,4.67,0.56,43.47,2.33,1.06,0.03,18.53,8.31,Medium ,Medium,High,Mixed Red & Black,50-100
2013,Ratlam,236.41,1104.0,95.86,25.23,11.2,2.57,44.6,5.34,0.53,46.58,3.3,1.01,0.03,17.53,7.9,Medium ,Medium,High,Mixed Red & Black,50-100
2014,Ratlam,229.0,882.0,95.96,26.29,10.56,2.63,44.71,5.25,0.57,41.42,2.11,1.07,0.03,18.76,8.43,Medium ,Medium,High,Mixed Red & Black,50-100
2015,Ratlam,230.0,896.0,95.99,26.29,10.51,2.68,45.17,6.59,0.56,40.76,2.59,1.05,0.03,18.43,8.28,Medium ,Medium,High,Mixed Red & Black,50-100
2016,Ratlam,186.0,1457.0,95.93,26.17,10.45,2.52,47.48,6.68,0.56,44.09,3.0,1.06,0.03,18.52,8.31,Medium ,Medium,High,Mixed Red & Black,50-100
2017,Ratlam,205.0,1823.0,95.91,26.24,10.33,2.57,44.71,5.18,0.56,42.15,2.28,1.07,0.03,18.74,8.39,Medium ,Medium,High,Mixed Red & Black,50-100
2001,Ujjain,416.7,644.0,95.24,24.98,10.81,2.11,45.54,5.81,0.55,48.94,3.76,1.05,0.03,18.19,8.2,Medium ,Low,High,Black,100-300
2002,Ujjain,414.7,484.0,95.27,25.63,10.26,2.21,45.75,5.99,0.56,45.61,2.95,1.06,0.03,18.5,8.32,Medium ,Low,High,Black,100-300
2003,Ujjain,364.0,1088.0,95.3,25.12,11.11,2.13,46.38,4.76,0.54,50.32,4.2,1.04,0.03,17.88,8.07,Medium ,Low,High,Black,100-300
2004,Ujjain,400.12,693.0,95.3,24.95,10.97,2.02,44.81,5.66,0.56,44.69,3.15,1.08,0.03,18.72,8.42,Medium ,Low,High,Black,100-300
2005,Ujjain,421.67,1052.0,95.29,24.91,10.75,2.02,45.07,6.48,0.56,47.52,4.31,1.06,0.03,18.48,8.28,Medium ,Low,High,Black,100-300
2006,Ujjain,430.34,1087.0,95.28,25.82,10.98,2.07,44.65,7.04,0.55,47.72,2.55,1.06,0.03,18.18,8.21,Medium ,Low,High,Black,100-300
2007,Ujjain,431.7,1189.0,95.27,25.21,10.79,2.02,45.21,7.51,0.56,46.49,2.77,1.06,0.03,18.46,8.3,Medium ,Low,High,Black,100-300
2008,Ujjain,443.7,1416.0,95.25,24.99,10.87,1.97,43.85,4.13,0.55,47.33,3.11,1.04,0.03,18.26,8.18,Medium ,Low,High,Black,100-300
2009,Ujjain,453.8,1483.0,95.26,26.12,10.55,2.0,44.87,8.15,0.57,43.81,2.8,1.07,0.03,18.76,8.4,Medium ,Low,High,Black,100-300
2010,Ujjain,451.8,1113.0,95.26,26.11,11.12,1.88,45.67,5.41,0.56,49.05,3.14,1.08,0.03,18.66,8.39,Medium ,Low,High,Black,100-300
2011,Ujjain,452.3,1386.0,95.24,24.95,11.25,1.91,44.68,2.05,0.54,45.76,3.82,1.04,0.03,18.08,8.14,Medium ,Low,High,Black,100-300
2012,Ujjain,458.82,1467.0,95.22,24.94,10.58,2.08,46.15,3.43,0.55,47.95,3.4,1.04,0.03,18.19,8.14,Medium ,Low,High,Black,100-300
2013,Ujjain,464.67,782.0,95.24,24.62,11.76,1.98,46.61,4.08,0.53,50.97,4.91,1.01,0.03,17.55,7.89,Medium ,Low,High,Black,100-300
2014,Ujjain,433.0,693.0,95.34,24.95,11.39,2.06,47.36,3.83,0.55,48.95,3.01,1.05,0.03,18.19,8.18,Medium ,Low,High,Black,100-300
2015,Ujjain,455.0,723.0,95.4,25.22,11.5,1.98,45.42,4.3,0.54,48.34,2.89,1.03,0.03,18.09,8.11,Medium ,Low,High,Black,100-300
2016,Ujjain,459.0,1466.0,95.3,25.52,11.17,1.98,45.38,4.63,0.54,51.29,3.68,1.02,0.03,17.86,8.0,Medium ,Low,High,Black,100-300
2017,Ujjain,446.9,1047.0,95.29,26.26,10.56,2.01,45.92,3.3,0.56,44.85,2.23,1.06,0.03,18.59,8.32,Medium ,Low,High,Black,100-300
2001,Mandsaur,223.4,719.0,95.86,26.67,9.29,2.56,44.59,6.51,0.59,39.31,1.6,1.11,0.03,19.54,8.71,Medium ,Medium,High,Mixed Red & Black,50-100
2002,Mandsaur,207.7,537.0,95.9,27.31,8.92,2.76,46.07,5.17,0.6,37.16,1.29,1.11,0.03,19.75,8.8,Medium ,Medium,High,Mixed Red & Black,50-100
2003,Mandsaur,200.6,1055.0,95.91,26.29,10.22,2.65,44.16,6.26,0.59,39.14,1.93,1.1,0.03,19.3,8.61,Medium ,Medium,High,Mixed Red & Black,50-100
2004,Mandsaur,231.96,882.0,95.91,26.62,10.02,2.55,44.2,5.99,0.6,37.48,1.97,1.12,0.03,19.74,8.81,Medium ,Medium,High,Mixed Red & Black,50-100
2005,Mandsaur,245.84,661.0,95.9,26.01,9.67,2.45,44.15,4.99,0.6,37.3,1.96,1.12,0.03,19.71,8.77,Medium ,Medium,High,Mixed Red & Black,50-100
2006,Mandsaur,250.88,839.0,95.89,26.41,10.71,2.45,44.81,7.02,0.58,37.39,2.76,1.09,0.03,19.14,8.56,Medium ,Medium,High,Mixed Red & Black,50-100
2007,Mandsaur,255.9,845.0,95.86,26.44,10.23,2.43,44.82,7.55,0.59,36.76,2.08,1.11,0.03,19.58,8.75,Medium ,Medium,High,Mixed Red & Black,50-100
2008,Mandsaur,259.1,916.0,95.86,26.25,9.97,2.59,43.31,4.69,0.58,39.78,1.69,1.08,0.03,19.11,8.52,Medium ,Medium,High,Mixed Red & Black,50-100
2009,Mandsaur,262.6,701.0,95.88,27.06,10.32,2.56,45.12,9.05,0.6,36.43,1.92,1.11,0.03,19.67,8.76,Medium ,Medium,High,Mixed Red & Black,50-100
2010,Mandsaur,261.5,974.0,95.85,26.78,11.0,2.45,46.61,7.07,0.59,38.93,2.33,1.11,0.03,19.43,8.68,Medium ,Medium,High,Mixed Red & Black,50-100
2011,Mandsaur,256.6,1383.0,95.84,25.93,10.68,2.47,44.81,4.06,0.58,36.52,2.57,1.08,0.03,19.13,8.55,Medium ,Medium,High,Mixed Red & Black,50-100
2012,Mandsaur,277.78,1777.0,95.86,25.53,10.1,2.63,43.96,4.07,0.58,39.05,2.32,1.07,0.03,18.95,8.44,Medium ,Medium,High,Mixed Red & Black,50-100
2013,Mandsaur,286.4,1106.0,95.88,25.16,11.04,2.46,45.15,4.13,0.55,42.82,2.91,1.04,0.03,18.28,8.17,Medium ,Medium,High,Mixed Red & Black,50-100
2014,Mandsaur,271.0,790.0,95.97,26.17,10.4,2.56,44.86,4.9,0.58,36.1,2.06,1.09,0.03,19.25,8.59,Medium ,Medium,High,Mixed Red & Black,50-100
2015,Mandsaur,283.0,753.0,96.0,26.19,10.36,2.61,45.62,5.81,0.57,37.68,2.35,1.06,0.03,18.92,8.43,Medium ,Medium,High,Mixed Red & Black,50-100
2016,Mandsaur,241.0,1373.0,95.93,26.13,10.36,2.46,47.48,6.19,0.57,39.48,3.14,1.07,0.03,18.94,8.44,Medium ,Medium,High,Mixed Red & Black,50-100
2017,Mandsaur,249.5,1128.0,95.92,26.27,10.16,2.53,44.48,4.17,0.58,46.15,2.15,1.08,0.03,19.05,8.48,Medium ,Medium,High,Mixed Red & Black,50-100
2001,Dewas,270.4,1160.0,95.14,26.6,9.64,2.47,44.73,6.16,0.56,46.52,1.66,1.09,0.03,18.82,8.53,Medium ,Low,High,Black,100-300
2002,Dewas,268.7,992.0,95.18,26.78,9.56,2.7,46.09,6.15,0.57,41.39,1.92,1.1,0.03,19.11,8.65,Medium ,Low,High,Black,100-300
2003,Dewas,271.1,1417.0,95.2,25.79,10.72,2.57,44.64,5.94,0.56,44.29,3.27,1.1,0.03,18.85,8.55,Medium ,Low,High,Black,100-300
2004,Dewas,274.22,1047.0,95.19,26.32,10.29,2.48,44.66,5.97,0.58,42.67,2.24,1.12,0.03,19.29,8.74,Medium ,Low,High,Black,100-300
2005,Dewas,280.7,1286.0,95.17,26.23,9.76,2.48,44.45,6.86,0.57,46.61,2.3,1.11,0.03,19.07,8.61,Medium ,Low,High,Black,100-300
2006,Dewas,282.51,1192.0,95.18,26.12,10.9,2.4,44.9,7.53,0.55,47.38,3.58,1.08,0.03,18.52,8.41,Medium ,Low,High,Black,100-300
2007,Dewas,296.1,1204.0,95.15,26.06,10.52,2.31,44.27,8.82,0.57,44.84,2.63,1.11,0.03,19.2,8.69,Medium ,Low,High,Black,100-300
2008,Dewas,303.5,1212.0,95.15,26.38,9.94,2.49,43.52,5.05,0.56,46.53,1.69,1.07,0.03,18.73,8.45,Medium ,Low,High,Black,100-300
2009,Dewas,306.6,1285.0,95.16,26.81,10.55,2.51,44.74,8.18,0.58,41.92,2.79,1.1,0.03,19.22,8.65,Medium ,Low,High,Black,100-300
2010,Dewas,321.6,1068.0,95.14,26.6,11.23,2.37,45.86,6.06,0.57,47.64,2.36,1.11,0.03,19.08,8.65,Medium ,Low,High,Black,100-300
2011,Dewas,323.0,1246.0,95.13,25.94,10.65,2.38,45.03,4.41,0.55,45.27,2.95,1.07,0.03,18.5,8.37,Medium ,Low,High,Black,100-300
2012,Dewas,340.53,1598.0,95.13,25.83,10.11,2.65,43.99,5.16,0.55,48.11,2.57,1.06,0.03,18.45,8.32,Medium ,Low,High,Black,100-300
2013,Dewas,350.96,762.0,95.15,25.24,11.28,2.54,45.33,4.22,0.52,50.56,4.08,1.0,0.03,17.3,7.82,Medium ,Low,High,Black,100-300
2014,Dewas,309.0,676.0,95.25,26.28,10.64,2.63,45.18,4.73,0.56,46.81,2.39,1.07,0.03,18.62,8.4,Medium ,Low,High,Black,100-300
2015,Dewas,337.0,623.0,95.29,26.05,10.69,2.55,45.82,5.36,0.54,46.72,3.37,1.04,0.03,18.15,8.19,Medium ,Low,High,Black,100-300
2016,Dewas,319.0,1483.0,95.22,25.94,10.48,2.47,47.16,5.1,0.55,51.18,3.4,1.06,0.03,18.51,8.33,Medium ,Low,High,Black,100-300
2017,Dewas,321.35,1020.0,95.2,26.28,10.23,2.47,45.44,3.73,0.56,43.92,2.26,1.08,0.03,18.8,8.46,Medium ,Low,High,Black,100-300
2001,Dhar,237.7,873.0,96.74,27.72,9.87,2.65,45.06,7.49,0.57,42.26,1.33,1.1,0.03,19.08,8.6,Medium ,High,High,Black,100-300
2002,Dhar,230.9,846.0,96.8,27.65,9.99,2.81,46.91,7.88,0.57,38.08,1.66,1.1,0.03,19.22,8.65,Medium ,High,High,Black,100-300
2003,Dhar,224.6,1161.0,96.8,26.7,11.26,2.69,44.73,7.84,0.57,41.55,2.99,1.09,0.03,18.97,8.55,Medium ,High,High,Black,100-300
2004,Dhar,238.49,911.0,96.8,27.14,10.8,2.63,44.21,8.85,0.57,42.08,2.17,1.1,0.03,19.15,8.63,Medium ,High,High,Black,100-300
2005,Dhar,245.91,1272.0,96.78,26.93,10.29,2.58,44.67,8.37,0.58,41.73,2.23,1.11,0.03,19.29,8.66,Medium ,High,High,Black,100-300
2006,Dhar,247.27,1258.0,96.78,27.01,11.34,2.54,45.25,8.8,0.56,42.95,2.94,1.07,0.03,18.56,8.38,Medium ,High,High,Black,100-300
2007,Dhar,250.3,1323.0,96.75,27.1,11.0,2.44,45.31,10.9,0.57,43.95,2.49,1.1,0.03,19.09,8.6,Medium ,High,High,Black,100-300
2008,Dhar,260.1,1445.0,96.74,27.33,10.29,2.65,44.52,7.14,0.56,46.44,1.52,1.06,0.03,18.6,8.34,Medium ,High,High,Black,100-300
2009,Dhar,268.1,1656.0,96.77,27.72,11.06,2.64,45.88,9.38,0.58,40.13,2.42,1.09,0.03,19.22,8.61,Medium ,High,High,Black,100-300
2010,Dhar,267.9,1270.0,96.74,27.41,11.88,2.5,46.56,8.02,0.57,45.86,2.42,1.09,0.03,18.88,8.51,Medium ,High,High,Black,100-300
2011,Dhar,266.8,1329.0,96.72,27.04,10.89,2.56,44.2,6.5,0.55,43.35,2.41,1.05,0.03,18.46,8.3,Medium ,High,High,Black,100-300
2012,Dhar,277.79,1593.0,96.74,26.78,10.54,2.81,43.42,6.23,0.55,46.68,2.21,1.05,0.03,18.44,8.27,Medium ,High,High,Black,100-300
2013,Dhar,292.2,1483.0,96.75,26.03,11.64,2.7,44.65,7.06,0.52,49.01,3.62,0.99,0.03,17.29,7.78,Medium ,High,High,Black,100-300
2014,Dhar,269.0,896.0,96.86,27.27,10.97,2.68,45.6,7.19,0.56,44.71,2.14,1.06,0.03,18.63,8.37,Medium ,High,High,Black,100-300
2015,Dhar,288.0,1309.0,96.9,27.13,11.04,2.61,45.14,7.76,0.54,45.24,2.83,1.03,0.03,18.13,8.14,Medium ,High,High,Black,100-300
2016,Dhar,289.0,1599.0,96.83,26.94,10.75,2.58,47.39,7.19,0.55,48.25,2.44,1.05,0.03,18.49,8.28,Medium ,High,High,Black,100-300
2017,Dhar,279.43,1291.0,96.81,27.07,10.7,2.55,44.35,6.76,0.56,42.16,2.17,1.06,0.03,18.75,8.39,Medium ,High,High,Black,100-300
