YEAR,DISTRICT,AREA,YIELD,PS,TS,QV2M,WS2M,T2M_MAX,T2M_MIN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,Nitrogen(N),Phosphorous(P),Potassium(K),Soil Type,Soil Depth
2011,Narsinghpur,99.2,1571.0,96.38,26.38,11.07,2.04,46.01,2.77,0.55,45.48,4.17,1.06,0.03,18.29,8.28,Medium ,Medium,High,Mixed Red & Black,50-100
2012,Narsinghpur,94.14,1789.0,96.37,26.37,10.44,2.21,46.2,4.51,0.55,48.18,3.6,1.05,0.03,18.21,8.21,Medium ,Medium,High,Mixed Red & Black,50-100
2013,Narsinghpur,101.85,394.0,96.38,26.04,11.78,2.14,47.3,3.58,0.51,50.85,4.9,1.0,0.03,17.21,7.79,Medium ,Medium,High,Mixed Red & Black,50-100
2014,Narsinghpur,85.0,1306.0,96.48,26.7,11.15,2.24,48.14,4.89,0.55,49.01,2.95,1.07,0.03,18.5,8.37,Medium ,Medium,High,Mixed Red & Black,50-100
2015,Narsinghpur,68.0,721.0,96.54,26.52,11.41,2.14,47.26,5.06,0.54,48.96,3.53,1.04,0.03,18.06,8.15,Medium ,Medium,High,Mixed Red & Black,50-100
2016,Narsinghpur,52.0,1385.0,96.44,26.9,10.83,2.1,47.31,5.14,0.55,50.02,4.12,1.05,0.03,18.22,8.21,Medium ,Medium,High,Mixed Red & Black,50-100
2017,Narsinghpur,43.5,313.0,96.43,27.17,10.58,2.07,47.07,3.63,0.57,42.66,2.45,1.08,0.03,18.88,8.49,Medium ,Medium,High,Mixed Red & Black,50-100
2001,Seoni,67.5,1110.0,94.53,25.34,10.88,2.19,45.6,6.97,0.55,50.8,3.38,1.08,0.03,18.3,8.3,Medium ,Medium,Medium,Black,100-300
2002,Seoni,67.6,914.0,94.57,26.13,10.34,2.34,45.19,6.74,0.56,47.25,2.87,1.09,0.03,18.64,8.44,Medium ,Medium,Medium,Black,100-300
2003,Seoni,72.1,1169.0,94.58,25.71,11.23,2.29,46.17,5.56,0.54,50.61,4.04,1.07,0.03,18.16,8.25,Medium ,Medium,Medium,Black,100-300
2004,Seoni,95.41,856.0,94.59,25.9,10.78,2.15,44.97,5.99,0.57,45.01,2.63,1.11,0.03,19.04,8.61,Medium ,Medium,Medium,Black,100-300
2005,Seoni,86.56,827.0,94.57,25.36,10.74,2.18,44.83,6.88,0.55,49.24,4.0,1.08,0.03,18.43,8.32,Medium ,Medium,Medium,Black,100-300
2006,Seoni,99.85,1108.0,94.58,25.79,11.39,2.14,44.76,6.78,0.54,50.07,3.61,1.07,0.03,18.19,8.26,Medium ,Medium,Medium,Black,100-300
2007,Seoni,110.1,977.0,94.55,25.84,10.76,2.12,43.81,8.53,0.56,48.05,3.1,1.09,0.03,18.7,8.44,Medium ,Medium,Medium,Black,100-300
2008,Seoni,113.5,1056.0,94.54,25.5,10.72,2.09,43.53,5.53,0.55,49.47,2.98,1.07,0.03,18.47,8.33,Medium ,Medium,Medium,Black,100-300
2009,Seoni,113.2,1090.0,94.55,26.5,10.81,2.16,44.82,7.89,0.57,46.59,3.24,1.1,0.03,18.9,8.51,Medium ,Medium,Medium,Black,100-300
2010,Seoni,120.2,1136.0,94.54,26.4,11.48,2.1,45.56,5.98,0.56,49.83,4.04,1.09,0.03,18.67,8.45,Medium ,Medium,Medium,Black,100-300
2011,Seoni,117.8,963.0,94.53,25.38,11.21,2.06,44.34,3.93,0.54,47.61,3.53,1.06,0.03,18.19,8.22,Medium ,Medium,Medium,Black,100-300
2012,Seoni,118.99,1241.0,94.51,25.59,10.59,2.28,44.86,5.66,0.54,49.65,3.67,1.05,0.03,18.09,8.14,Medium ,Medium,Medium,Black,100-300
2013,Seoni,106.49,258.0,94.52,25.43,11.76,2.2,46.09,5.9,0.52,52.32,4.97,1.01,0.03,17.35,7.85,Medium ,Medium,Medium,Black,100-300
2014,Seoni,80.0,1288.0,94.63,25.81,11.28,2.31,46.31,5.72,0.55,51.05,2.9,1.06,0.03,18.25,8.25,Medium ,Medium,Medium,Black,100-300
2015,Seoni,33.0,636.0,94.69,25.46,11.68,2.18,45.21,6.03,0.54,51.29,3.48,1.04,0.03,18.07,8.15,Medium ,Medium,Medium,Black,100-300
2016,Seoni,26.0,1385.0,94.59,26.17,10.98,2.16,45.38,5.14,0.54,52.19,3.09,1.05,0.03,18.15,8.18,Medium ,Medium,Medium,Black,100-300
2017,Seoni,31.0,88.0,94.59,26.41,10.7,2.07,44.97,5.04,0.56,45.56,2.71,1.08,0.03,18.74,8.42,Medium ,Medium,Medium,Black,100-300
