YEAR,DISTRICT,AREA,YIELD,PS,TS,QV2M,WS2M,CLOUD_AMT,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M,PRECTOTCORR,RH2M,GWETROOT,GWETPROF,T2M_RANGE,Nitrogen(N),Phosphorous(P),Potassium(K),Soil Type,Soil Depth
2013,Guna,247.13,600.0,95.3,24.56,11.09,2.26,46.13,17.69,7.98,24.1,4.16,56.66,0.69,0.7,43.17,Medium ,High,High,Black,100-300
2014,Guna,143.0,1587.0,95.39,25.54,10.41,2.45,43.92,18.72,8.45,24.9,2.6,52.85,0.65,0.65,43.59,Medium ,High,High,Black,100-300
2015,Guna,237.0,608.0,95.44,25.14,10.68,2.33,42.83,18.33,8.27,24.6,2.88,53.89,0.66,0.66,41.45,Medium ,High,High,Black,100-300
2016,Guna,210.0,819.0,95.35,25.6,10.43,2.22,45.1,18.46,8.31,25.35,3.23,50.12,0.69,0.69,42.62,Medium ,High,High,Black,100-300
2017,Guna,182.5,825.0,95.34,26.39,9.79,2.31,43.25,18.67,8.4,25.68,1.79,45.46,0.61,0.62,42.88,Medium ,High,High,Black,100-300
1990,Datia,1.56,782.0,98.19,26.5,10.63,2.11,53.17,18.49,8.71,26.21,2.5,49.08,0.47,0.48,39.34,Medium,Low,Medium,Black,100-300
1991,Datia,0.19,789.0,98.21,27.29,8.96,2.13,46.71,19.45,9.11,26.78,1.57,40.83,0.42,0.43,44.95,Medium,Low,Medium,Black,100-300
1992,Datia,0.59,949.0,98.27,27.06,9.2,2.06,49.42,18.98,8.95,26.6,1.89,42.7,0.44,0.44,43.62,Medium,Low,Medium,Black,100-300
1993,Datia,1.19,1067.0,98.24,27.25,9.25,2.19,50.07,19.41,9.13,26.86,1.74,40.86,0.42,0.42,44.34,Medium,Low,Medium,Black,100-300
1994,Datia,1.2,1000.0,98.2,26.99,9.41,2.0,46.17,19.71,9.27,26.59,1.96,42.63,0.44,0.45,44.98,Medium,Low,Medium,Black,100-300
1995,Datia,2.4,958.0,98.21,26.67,9.88,2.09,46.81,19.37,9.14,26.31,2.65,45.81,0.48,0.49,43.35,Medium,Low,Medium,Black,100-300
1996,Datia,3.0,933.0,98.18,25.83,10.34,1.94,46.51,18.72,8.81,25.8,2.8,49.66,0.51,0.52,44.46,Medium,Low,Medium,Black,100-300
1997,Datia,4.6,1000.0,98.32,26.24,10.38,2.1,50.7,18.68,8.87,25.69,2.32,49.3,0.43,0.44,40.9,Medium,Low,Medium,Black,100-300
1998,Datia,6.3,667.0,98.24,26.89,10.54,1.98,42.75,19.24,9.01,26.43,1.91,47.72,0.44,0.44,45.71,Medium,Low,Medium,Black,100-300
1999,Datia,1.3,615.0,98.15,27.12,9.4,2.07,38.24,18.58,8.72,26.76,1.93,42.34,0.43,0.44,41.03,Medium,Low,Medium,Black,100-300
2000,Datia,1.9,737.0,98.1,28.09,8.38,2.24,34.65,19.02,8.89,27.4,0.84,33.62,0.38,0.39,43.71,Medium,Low,Medium,Black,100-300
2001,Datia,1.8,1056.0,98.19,26.62,9.96,1.97,42.21,18.32,8.25,26.37,2.25,43.14,0.44,0.45,42.28,Medium,Low,Medium,Black,100-300
2002,Datia,0.5,600.0,98.2,28.03,8.95,2.19,39.92,18.52,8.32,27.46,1.49,39.37,0.4,0.41,42.12,Medium,Low,Medium,Black,100-300
2003,Datia,0.6,833.0,98.25,26.9,10.19,1.99,46.23,17.69,7.97,26.41,1.88,47.83,0.43,0.43,43.35,Medium,Low,Medium,Black,100-300
2004,Datia,0.76,684.0,98.23,27.33,9.95,2.1,41.48,18.36,8.25,26.89,1.77,45.11,0.42,0.43,41.98,Medium,Low,Medium,Black,100-300
2005,Datia,0.79,886.0,98.22,26.96,9.83,2.12,40.91,18.29,8.18,26.44,1.8,44.99,0.42,0.43,41.52,Medium,Low,Medium,Black,100-300
2006,Datia,0.42,810.0,98.21,27.98,10.07,2.1,43.17,18.2,8.19,27.4,1.7,43.03,0.41,0.42,41.35,Medium,Low,Medium,Black,100-300
2007,Datia,0.4,500.0,98.2,27.42,9.94,2.08,39.4,18.23,8.18,26.86,1.71,43.58,0.41,0.41,40.45,Medium,Low,Medium,Black,100-300
2008,Datia,0.3,667.0,98.21,25.9,11.01,1.88,44.17,17.61,7.91,25.69,2.62,51.5,0.5,0.51,40.87,Medium,Low,Medium,Black,100-300
2009,Datia,0.3,667.0,98.2,27.93,10.02,2.09,39.25,18.53,8.31,27.23,1.6,45.58,0.41,0.42,39.9,Medium,Low,Medium,Black,100-300
2010,Datia,0.3,1000.0,98.2,27.18,10.75,1.89,42.74,18.24,8.2,26.83,2.29,50.31,0.46,0.47,42.03,Medium,Low,Medium,Black,100-300
2011,Datia,0.32,625.0,98.19,25.81,11.19,1.84,37.73,18.13,8.17,25.65,2.93,53.81,0.53,0.54,44.09,Medium,Low,Medium,Black,100-300
2012,Datia,0.8,913.0,98.17,26.2,9.96,2.08,42.16,17.92,8.02,25.9,2.04,47.38,0.46,0.47,44.53,Medium,Low,Medium,Black,100-300
2013,Datia,1.77,819.0,98.21,25.59,11.32,1.96,43.13,17.41,7.82,25.37,3.08,54.94,0.51,0.51,45.84,Medium,Low,Medium,Black,100-300
2014,Datia,11.0,1273.0,98.29,26.39,10.46,2.02,41.48,18.2,8.2,26.04,2.22,50.13,0.45,0.46,44.07,Medium,Low,Medium,Black,100-300
2015,Datia,9.0,778.0,98.35,26.51,10.65,1.96,39.56,18.23,8.17,26.1,2.38,49.58,0.44,0.44,41.91,Medium,Low,Medium,Black,100-300
2016,Datia,7.0,571.0,98.24,27.11,10.52,1.88,43.4,17.67,7.91,26.84,2.22,46.73,0.46,0.47,42.84,Medium,Low,Medium,Black,100-300
2017,Datia,6.7,854.0,98.22,27.97,9.75,2.0,43.98,18.06,8.09,27.34,1.48,41.77,0.4,0.41,44.24,Medium,Low,Medium,Black,100-300
1990,Morena,3.55,1310.0,98.68,26.72,10.15,2.07,51.09,19.18,8.76,26.4,2.16,45.67,0.43,0.42,41.11,High,Medium,High,Alluvial,300
1991,Morena,1.73,1416.0,98.71,27.34,8.48,2.09,45.76,20.21,9.14,26.86,1.5,37.85,0.4,0.4,45.33,High,Medium,High,Alluvial,300
1992,Morena,1.02,1559.0,98.76,26.82,8.93,2.06,49.03,19.27,8.8,26.45,1.8,41.48,0.41,0.41,44.97,High,Medium,High,Alluvial,300
1993,Morena,3.89,1563.0,98.73,27.08,8.94,2.15,49.37,20.3,9.23,26.78,1.76,39.21,0.41,0.4,45.53,High,Medium,High,Alluvial,300
1994,Morena,7.1,1338.0,98.7,26.89,9.07,1.98,43.06,20.65,9.39,26.6,1.92,40.65,0.42,0.42,45.15,High,Medium,High,Alluvial,300
1995,Morena,11.3,1442.0,98.7,26.6,9.49,2.06,44.4,19.87,9.05,26.29,2.43,43.85,0.46,0.45,43.97,High,Medium,High,Alluvial,300
1996,Morena,14.0,1279.0,98.68,25.82,9.97,1.94,43.74,19.52,8.89,25.81,2.6,46.98,0.48,0.47,44.83,High,Medium,High,Alluvial,300
1997,Morena,26.5,1426.0,98.8,26.69,9.59,2.06,48.97,19.67,8.99,26.08,1.82,43.56,0.39,0.39,42.21,High,Medium,High,Alluvial,300
1998,Morena,28.1,1082.0,98.74,26.57,10.24,1.95,44.2,19.69,8.95,26.23,1.98,46.44,0.43,0.42,47.24,High,Medium,High,Alluvial,300
1999,Morena,0.2,1000.0,98.64,27.27,8.89,2.03,36.0,19.63,8.88,26.97,1.7,38.98,0.4,0.4,41.96,High,Medium,High,Alluvial,300
2000,Morena,0.2,1500.0,98.59,27.86,8.18,2.16,34.85,20.07,9.08,27.39,0.92,32.66,0.36,0.36,44.37,High,Medium,High,Alluvial,300
2001,Morena,0.2,1500.0,98.67,27.07,9.22,1.91,37.34,19.23,8.68,26.84,1.75,38.02,0.39,0.39,43.77,High,Medium,High,Alluvial,300
2002,Morena,0.2,500.0,98.69,28.0,8.48,2.09,36.09,19.56,8.79,27.6,1.34,36.7,0.37,0.37,44.6,High,Medium,High,Alluvial,300
2003,Morena,0.2,1000.0,98.74,26.91,9.63,1.88,43.21,18.5,8.36,26.5,1.58,44.12,0.4,0.39,44.21,High,Medium,High,Alluvial,300
2004,Morena,0.2,1150.0,98.72,27.41,9.61,2.1,38.86,19.24,8.67,27.04,1.6,42.85,0.4,0.39,42.87,High,Medium,High,Alluvial,300
2005,Morena,0.35,1486.0,98.72,27.0,9.35,2.06,37.41,19.11,8.57,26.5,1.51,42.12,0.38,0.38,42.72,High,Medium,High,Alluvial,300
2006,Morena,0.28,1143.0,98.71,28.13,9.64,2.14,40.05,18.83,8.5,27.5,1.34,40.29,0.38,0.37,43.61,High,Medium,High,Alluvial,300
2007,Morena,0.2,1500.0,98.69,27.61,9.53,2.11,37.27,18.89,8.52,27.02,1.35,40.94,0.38,0.37,43.41,High,Medium,High,Alluvial,300
2008,Morena,0.2,1500.0,98.69,25.99,10.73,1.82,40.61,18.39,8.3,25.8,2.4,48.9,0.47,0.46,42.31,High,Medium,High,Alluvial,300
2009,Morena,0.2,1500.0,98.69,27.87,9.61,2.05,35.61,19.37,8.72,27.3,1.56,43.03,0.4,0.4,41.63,High,Medium,High,Alluvial,300
2010,Morena,0.3,1333.0,98.69,27.12,10.42,1.87,40.42,18.73,8.45,26.86,2.04,48.36,0.44,0.44,44.1,High,Medium,High,Alluvial,300
2011,Morena,0.4,1000.0,98.68,26.0,10.75,1.83,35.21,18.84,8.52,25.81,2.2,50.47,0.47,0.46,45.86,High,Medium,High,Alluvial,300
2012,Morena,0.34,1265.0,98.67,25.92,9.53,2.06,38.32,18.64,8.37,25.73,2.17,45.33,0.45,0.45,46.63,High,Medium,High,Alluvial,300
2013,Morena,0.45,1356.0,98.72,25.43,10.93,1.93,38.79,18.49,8.35,25.21,2.8,53.09,0.48,0.47,46.9,High,Medium,High,Alluvial,300
2014,Morena,11.0,1000.0,98.79,26.51,9.83,1.97,37.39,18.97,8.58,26.16,1.92,46.17,0.42,0.42,45.19,High,Medium,High,Alluvial,300
2015,Morena,3.0,1333.0,98.85,26.67,9.94,1.89,36.01,18.93,8.52,26.25,1.91,45.5,0.4,0.4,43.03,High,Medium,High,Alluvial,300
2016,Morena,0.0,0.0,98.73,27.26,9.98,1.79,38.95,18.69,8.42,27.05,2.02,42.76,0.43,0.42,43.1,High,Medium,High,Alluvial,300
2017,Morena,1.7,1665.0,98.72,27.85,9.4,1.95,47.71,18.7,8.42,27.27,1.39,39.93,0.38,0.38,44.19,High,Medium,High,Alluvial,300
1990,Bhind,0.49,776.0,98.98,26.87,10.25,2.08,50.72,18.6,8.69,26.49,2.14,45.97,0.42,0.42,41.1,High,Low,High,Alluvial,300
1991,Bhind,0.09,667.0,99.0,27.53,8.65,2.09,47.35,19.54,9.1,27.01,1.46,38.43,0.4,0.39,45.65,High,Low,High,Alluvial,300
1992,Bhind,0.11,727.0,99.06,27.08,8.99,2.08,48.58,19.06,8.92,26.65,1.77,41.33,0.41,0.4,45.02,High,Low,High,Alluvial,300
1993,Bhind,0.08,875.0,99.02,27.2,8.96,2.17,48.9,19.57,9.12,26.87,1.76,39.1,0.4,0.4,45.15,High,Low,High,Alluvial,300
1994,Bhind,0.1,1000.0,98.99,27.11,9.13,1.96,41.95,20.02,9.32,26.78,1.89,40.52,0.42,0.41,45.53,High,Low,High,Alluvial,300
1995,Bhind,0.1,1000.0,98.99,26.8,9.59,2.1,44.81,19.27,9.02,26.47,2.37,43.95,0.45,0.44,44.22,High,Low,High,Alluvial,300
1996,Bhind,0.3,667.0,98.97,26.01,10.04,1.96,43.88,18.98,8.87,25.94,2.51,47.12,0.47,0.46,45.01,High,Low,High,Alluvial,300
1997,Bhind,0.6,833.0,99.1,26.87,9.61,2.03,50.97,18.9,8.89,26.26,1.78,43.33,0.39,0.39,41.39,High,Low,High,Alluvial,300
1998,Bhind,0.6,667.0,99.04,26.79,10.34,1.96,43.95,19.09,8.91,26.38,1.94,46.6,0.42,0.41,47.06,High,Low,High,Alluvial,300
1999,Bhind,0.2,500.0,98.93,27.4,8.99,2.02,36.3,18.99,8.85,27.07,1.64,39.35,0.4,0.39,41.62,High,Low,High,Alluvial,300
2000,Bhind,0.2,500.0,98.89,27.99,8.43,2.13,35.14,19.11,8.89,27.41,0.9,33.76,0.35,0.35,43.88,High,Low,High,Alluvial,300
2001,Bhind,0.1,1000.0,98.97,27.28,9.31,1.91,38.73,18.45,8.3,26.96,1.67,38.25,0.38,0.38,44.32,High,Low,High,Alluvial,300
2002,Bhind,0.0,0.0,98.98,28.07,8.61,2.05,38.04,18.66,8.36,27.64,1.29,37.51,0.37,0.37,44.06,High,Low,High,Alluvial,300
2003,Bhind,0.0,0.0,99.04,27.05,9.72,1.87,45.54,17.65,7.96,26.6,1.53,44.56,0.39,0.39,44.37,High,Low,High,Alluvial,300
2004,Bhind,0.17,765.0,99.01,27.42,9.74,2.11,40.46,18.37,8.25,27.05,1.58,43.55,0.4,0.39,42.66,High,Low,High,Alluvial,300
2005,Bhind,0.08,875.0,99.01,27.18,9.52,2.07,39.28,18.43,8.23,26.64,1.45,42.76,0.38,0.38,42.98,High,Low,High,Alluvial,300
2006,Bhind,0.03,667.0,99.0,28.28,9.73,2.16,40.24,18.3,8.22,27.6,1.32,40.46,0.37,0.37,43.08,High,Low,High,Alluvial,300
2007,Bhind,0.0,0.0,98.99,27.76,9.72,2.14,38.3,18.18,8.16,27.11,1.32,41.68,0.37,0.37,43.37,High,Low,High,Alluvial,300
2008,Bhind,0.0,0.0,98.99,26.07,10.89,1.8,40.88,17.54,7.88,25.86,2.31,49.85,0.46,0.45,41.56,High,Low,High,Alluvial,300
2009,Bhind,0.0,0.0,98.99,27.95,9.73,2.04,36.93,18.52,8.3,27.37,1.51,43.53,0.4,0.39,41.71,High,Low,High,Alluvial,300
2010,Bhind,0.0,0.0,98.99,27.26,10.45,1.87,42.53,17.92,8.05,26.97,1.95,48.39,0.43,0.42,43.99,High,Low,High,Alluvial,300
2011,Bhind,0.0,0.0,98.97,26.16,10.85,1.8,36.33,17.94,8.08,25.94,2.13,50.66,0.46,0.45,45.63,High,Low,High,Alluvial,300
2012,Bhind,0.0,0.0,98.96,26.1,9.66,2.1,38.93,18.1,8.09,25.85,2.13,45.9,0.45,0.44,47.23,High,Low,High,Alluvial,300
2013,Bhind,0.12,1167.0,99.01,25.63,11.05,1.97,39.86,17.61,7.91,25.34,2.77,53.55,0.47,0.46,47.4,High,Low,High,Alluvial,300
2014,Bhind,11.0,909.0,99.08,26.72,9.83,2.0,40.14,18.14,8.16,26.32,1.87,45.82,0.41,0.41,45.95,High,Low,High,Alluvial,300
2015,Bhind,1.0,1000.0,99.14,26.68,10.09,1.88,38.33,18.18,8.14,26.3,2.06,46.21,0.41,0.4,43.35,High,Low,High,Alluvial,300
2016,Bhind,0.0,0.0,99.02,27.31,10.1,1.8,40.71,17.8,7.97,27.1,1.97,43.19,0.42,0.42,43.56,High,Low,High,Alluvial,300
2017,Bhind,0.5,2000.0,99.01,27.76,9.68,1.92,45.78,17.83,7.99,27.26,1.58,41.36,0.39,0.38,44.77,High,Low,High,Alluvial,300
1990,Indore,149.52,1254.0,96.28,26.5,11.27,2.77,58.23,18.46,8.82,25.68,2.89,54.46,0.68,0.68,37.46,Medium ,Medium,Medium,Black,100-300
1991,Indore,176.51,949.0,96.29,27.4,9.27,2.76,50.9,19.48,9.26,26.35,1.77,43.12,0.64,0.65,43.43,Medium ,Medium,Medium,Black,100-300
1992,Indore,186.05,972.0,96.34,27.24,9.5,2.78,53.56,19.68,9.38,26.14,1.66,44.61,0.63,0.64,38.99,Medium ,Medium,Medium,Black,100-300
1993,Indore,190.5,1355.0,96.34,26.88,10.22,2.77,53.29,19.46,9.27,25.91,2.34,48.6,0.66,0.66,38.16,Medium ,Medium,Medium,Black,100-300
1994,Indore,197.0,921.0,96.29,26.17,10.27,2.71,51.23,19.34,9.19,25.4,2.97,50.73,0.69,0.7,40.15,Medium ,Medium,Medium,Black,100-300
1995,Indore,201.9,1106.0,96.27,27.06,10.08,2.68,50.23,19.42,9.34,26.0,2.48,47.5,0.65,0.65,38.71,Medium ,Medium,Medium,Black,100-300
1996,Indore,203.3,1072.0,96.25,26.77,10.32,2.69,48.0,19.33,9.21,25.82,2.54,49.77,0.67,0.68,38.44,Medium ,Medium,Medium,Black,100-300
1997,Indore,210.7,1161.0,96.38,26.35,11.18,2.64,47.97,19.0,9.13,25.36,2.52,54.66,0.66,0.67,37.82,Medium ,Medium,Medium,Black,100-300
1998,Indore,208.1,1263.0,96.28,26.92,11.24,2.52,47.97,18.85,9.0,26.04,2.36,52.87,0.67,0.67,39.52,Medium ,Medium,Medium,Black,100-300
1999,Indore,214.5,1486.0,96.25,26.61,10.32,2.71,40.98,19.11,9.06,25.74,2.18,49.86,0.65,0.65,37.92,Medium ,Medium,Medium,Black,100-300
2000,Indore,209.1,1031.0,96.21,27.14,9.29,2.66,37.97,19.56,9.3,26.25,1.65,41.45,0.63,0.64,37.16,Medium ,Medium,Medium,Black,100-300
2001,Indore,220.4,979.0,96.26,27.57,9.79,2.61,42.26,19.08,8.6,26.47,1.35,43.74,0.62,0.63,38.46,Medium ,Medium,Medium,Black,100-300
2002,Indore,219.6,756.0,96.31,27.55,9.83,2.81,38.08,19.22,8.65,26.53,1.71,44.6,0.63,0.64,39.05,Medium ,Medium,Medium,Black,100-300
2003,Indore,218.5,1078.0,96.32,26.51,11.08,2.67,41.55,18.97,8.55,25.79,3.09,54.12,0.7,0.71,37.52,Medium ,Medium,Medium,Black,100-300
2004,Indore,220.15,1084.0,96.32,26.97,10.64,2.6,42.08,19.15,8.63,26.16,2.15,50.2,0.66,0.67,36.12,Medium ,Medium,Medium,Black,100-300
2005,Indore,209.91,1126.0,96.29,26.93,10.07,2.58,41.73,19.29,8.66,26.02,2.14,47.4,0.64,0.65,36.44,Medium ,Medium,Medium,Black,100-300
2006,Indore,224.19,1231.0,96.3,26.75,11.21,2.5,42.95,18.56,8.38,26.08,3.01,53.24,0.69,0.7,36.66,Medium ,Medium,Medium,Black,100-300
2007,Indore,226.0,1395.0,96.27,26.85,10.83,2.41,43.95,19.09,8.6,26.11,2.48,50.92,0.68,0.68,35.02,Medium ,Medium,Medium,Black,100-300
2008,Indore,221.0,1517.0,96.26,27.24,10.11,2.62,46.44,18.6,8.34,26.18,1.49,46.59,0.63,0.64,37.84,Medium ,Medium,Medium,Black,100-300
2009,Indore,226.8,1770.0,96.28,27.59,10.89,2.63,40.13,19.22,8.61,26.61,2.53,51.17,0.65,0.65,37.11,Medium ,Medium,Medium,Black,100-300
2010,Indore,223.1,862.0,96.26,27.28,11.67,2.47,45.86,18.88,8.51,26.43,2.39,55.23,0.67,0.67,38.63,Medium ,Medium,Medium,Black,100-300
2011,Indore,219.6,1161.0,96.25,26.75,10.83,2.52,43.35,18.46,8.3,25.89,2.48,51.41,0.68,0.68,38.83,Medium ,Medium,Medium,Black,100-300
2012,Indore,228.18,1454.0,96.26,26.62,10.4,2.79,46.68,18.44,8.27,25.68,2.29,49.05,0.66,0.67,37.85,Medium ,Medium,Medium,Black,100-300
2013,Indore,231.22,1007.0,96.27,25.92,11.53,2.7,49.01,17.29,7.78,25.21,3.74,56.62,0.72,0.72,39.0,Medium ,Medium,Medium,Black,100-300
2014,Indore,222.0,1059.0,96.37,27.12,10.87,2.71,44.71,18.63,8.37,26.03,2.2,52.11,0.66,0.67,39.04,Medium ,Medium,Medium,Black,100-300
2015,Indore,223.0,762.0,96.42,26.87,10.97,2.6,45.24,18.13,8.14,25.98,3.13,52.2,0.66,0.67,39.29,Medium ,Medium,Medium,Black,100-300
2016,Indore,221.0,1588.0,96.34,26.67,10.66,2.57,48.25,18.49,8.28,25.96,2.63,50.83,0.69,0.69,41.44,Medium ,Medium,Medium,Black,100-300
2017,Indore,216.9,915.0,96.33,26.72,10.65,2.51,42.16,18.75,8.39,26.01,2.4,50.12,0.67,0.68,38.85,Medium ,Medium,Medium,Black,100-300
1990,Ratlam,75.68,1011.0,95.86,26.04,10.91,2.72,56.48,18.26,8.76,25.28,2.69,53.04,0.68,0.68,40.37,Medium ,Medium,High,Mixed Red & Black,50-100
1991,Ratlam,119.87,709.0,95.88,26.68,8.98,2.65,50.73,19.16,9.08,25.79,1.74,42.3,0.65,0.65,44.85,Medium ,Medium,High,Mixed Red & Black,50-100
1992,Ratlam,132.51,849.0,95.93,26.39,9.36,2.69,52.72,19.59,9.34,25.41,1.78,45.25,0.64,0.65,39.67,Medium ,Medium,High,Mixed Red & Black,50-100
1993,Ratlam,142.23,1119.0,95.92,26.54,9.82,2.75,52.35,19.73,9.39,25.6,2.24,46.41,0.66,0.66,39.92,Medium ,Medium,High,Mixed Red & Black,50-100
1994,Ratlam,162.4,1062.0,95.87,25.68,9.91,2.68,51.14,19.12,9.11,24.97,2.89,49.19,0.69,0.7,41.33,Medium ,Medium,High,Mixed Red & Black,50-100
1995,Ratlam,166.0,1293.0,95.86,26.51,9.67,2.64,47.64,19.43,9.29,25.5,2.16,46.11,0.65,0.65,40.9,Medium ,Medium,High,Mixed Red & Black,50-100
1996,Ratlam,173.5,1017.0,95.84,26.05,10.02,2.67,46.7,19.06,9.08,25.21,2.5,49.16,0.68,0.68,39.02,Medium ,Medium,High,Mixed Red & Black,50-100
1997,Ratlam,170.0,961.0,95.96,25.52,10.9,2.65,48.99,18.93,9.05,24.64,2.56,54.36,0.67,0.68,38.55,Medium ,Medium,High,Mixed Red & Black,50-100
1998,Ratlam,182.2,1707.0,95.87,26.58,10.69,2.53,45.25,19.18,9.16,25.66,2.2,49.9,0.66,0.67,40.82,Medium ,Medium,High,Mixed Red & Black,50-100
1999,Ratlam,184.2,1595.0,95.83,26.43,9.82,2.74,38.83,19.14,9.1,25.53,1.93,46.75,0.64,0.64,37.33,Medium ,Medium,High,Mixed Red & Black,50-100
2000,Ratlam,181.5,697.0,95.8,26.69,9.0,2.72,33.62,19.51,9.22,25.77,1.59,40.55,0.63,0.64,38.83,Medium ,Medium,High,Mixed Red & Black,50-100
2001,Ratlam,178.4,625.0,95.84,26.92,9.38,2.62,40.14,18.98,8.54,25.85,1.47,42.25,0.63,0.64,37.3,Medium ,Medium,High,Mixed Red & Black,50-100
2002,Ratlam,165.0,429.0,95.89,27.19,9.26,2.79,35.9,19.39,8.71,26.16,1.46,42.09,0.62,0.63,40.34,Medium ,Medium,High,Mixed Red & Black,50-100
2003,Ratlam,158.4,1148.0,95.9,26.09,10.6,2.69,39.03,18.85,8.48,25.38,2.46,51.78,0.68,0.68,37.46,Medium ,Medium,High,Mixed Red & Black,50-100
2004,Ratlam,178.66,647.0,95.9,26.56,10.25,2.59,38.95,19.21,8.65,25.78,2.08,48.39,0.66,0.67,36.96,Medium ,Medium,High,Mixed Red & Black,50-100
2005,Ratlam,181.81,966.0,95.88,26.15,9.8,2.51,39.61,19.3,8.64,25.33,2.06,46.77,0.65,0.66,38.46,Medium ,Medium,High,Mixed Red & Black,50-100
2006,Ratlam,188.53,1170.0,95.88,26.42,10.86,2.51,39.77,18.75,8.45,25.7,2.86,51.86,0.69,0.69,37.39,Medium ,Medium,High,Mixed Red & Black,50-100
2007,Ratlam,197.6,1193.0,95.85,26.46,10.45,2.45,40.03,19.21,8.65,25.67,2.27,49.55,0.68,0.68,35.89,Medium ,Medium,High,Mixed Red & Black,50-100
2008,Ratlam,204.7,1102.0,95.85,26.53,9.97,2.65,43.22,18.81,8.43,25.56,1.6,46.64,0.64,0.64,38.47,Medium ,Medium,High,Mixed Red & Black,50-100
2009,Ratlam,208.2,922.0,95.87,27.05,10.59,2.6,36.61,19.32,8.66,26.15,2.2,50.01,0.64,0.65,36.11,Medium ,Medium,High,Mixed Red & Black,50-100
2010,Ratlam,210.7,895.0,95.84,26.83,11.22,2.48,41.08,19.09,8.59,26.01,2.38,53.54,0.68,0.68,39.16,Medium ,Medium,High,Mixed Red & Black,50-100
2011,Ratlam,212.0,1260.0,95.83,26.17,10.67,2.53,38.26,18.64,8.39,25.32,2.52,51.67,0.69,0.69,39.62,Medium ,Medium,High,Mixed Red & Black,50-100
2012,Ratlam,224.53,1500.0,95.85,25.74,10.18,2.74,43.47,18.53,8.31,24.89,2.33,49.34,0.67,0.68,38.34,Medium ,Medium,High,Mixed Red & Black,50-100
2013,Ratlam,236.41,1104.0,95.86,25.23,11.2,2.57,46.58,17.53,7.9,24.58,3.3,55.88,0.72,0.72,39.26,Medium ,Medium,High,Mixed Red & Black,50-100
2014,Ratlam,229.0,882.0,95.96,26.29,10.56,2.63,41.42,18.76,8.43,25.36,2.11,51.97,0.67,0.67,39.46,Medium ,Medium,High,Mixed Red & Black,50-100
2015,Ratlam,230.0,896.0,95.99,26.29,10.51,2.68,40.76,18.43,8.28,25.47,2.59,50.59,0.66,0.67,38.58,Medium ,Medium,High,Mixed Red & Black,50-100
2016,Ratlam,186.0,1457.0,95.93,26.17,10.45,2.52,44.09,18.52,8.31,25.61,3.0,49.99,0.7,0.7,40.8,Medium ,Medium,High,Mixed Red & Black,50-100
2017,Ratlam,205.0,1823.0,95.91,26.24,10.33,2.57,42.15,18.74,8.39,25.53,2.28,49.17,0.67,0.68,39.53,Medium ,Medium,High,Mixed Red & Black,50-100
1990,Ujjain,241.86,1168.0,95.24,24.9,11.4,2.22,62.12,18.4,8.56,24.58,4.02,57.51,0.74,0.74,36.33,Medium ,Low,High,Black,100-300
1991,Ujjain,312.98,1002.0,95.26,25.72,9.87,2.25,57.59,19.26,8.91,25.24,2.73,48.87,0.68,0.68,43.01,Medium ,Low,High,Black,100-300
1992,Ujjain,335.81,843.0,95.31,25.58,9.74,2.07,54.74,19.6,9.06,25.12,2.89,48.14,0.68,0.68,41.93,Medium ,Low,High,Black,100-300
1993,Ujjain,343.28,1205.0,95.3,25.1,10.26,2.1,58.37,19.28,8.95,24.96,3.44,50.45,0.7,0.7,39.85,Medium ,Low,High,Black,100-300
1994,Ujjain,373.2,1167.0,95.25,25.18,10.38,2.06,57.78,18.68,8.65,24.83,4.25,52.46,0.71,0.71,41.02,Medium ,Low,High,Black,100-300
1995,Ujjain,386.5,1094.0,95.26,25.13,10.64,2.1,58.34,18.65,8.76,24.83,2.87,53.38,0.69,0.69,41.43,Medium ,Low,High,Black,100-300
1996,Ujjain,401.5,890.0,95.23,25.26,10.4,2.02,55.63,18.47,8.57,24.85,2.59,52.57,0.69,0.69,39.32,Medium ,Low,High,Black,100-300
1997,Ujjain,407.6,1041.0,95.36,24.62,10.99,2.12,60.68,17.94,8.37,24.17,3.81,57.03,0.73,0.72,38.74,Medium ,Low,High,Black,100-300
1998,Ujjain,407.6,1370.0,95.28,24.9,11.61,2.03,49.89,18.41,8.6,24.74,2.7,58.63,0.7,0.7,41.68,Medium ,Low,High,Black,100-300
1999,Ujjain,416.9,1363.0,95.2,25.11,10.29,2.08,42.06,18.73,8.58,24.95,3.39,52.12,0.71,0.71,40.28,Medium ,Low,High,Black,100-300
2000,Ujjain,421.5,611.0,95.18,25.29,9.67,2.14,36.33,19.22,8.85,25.03,2.13,45.47,0.65,0.66,38.97,Medium ,Low,High,Black,100-300
2001,Ujjain,416.7,644.0,95.24,24.98,10.81,2.11,48.94,18.19,8.2,24.69,3.76,52.66,0.71,0.71,39.73,Medium ,Low,High,Black,100-300
2002,Ujjain,414.7,484.0,95.27,25.63,10.26,2.21,45.61,18.5,8.32,25.35,2.95,50.59,0.67,0.67,39.76,Medium ,Low,High,Black,100-300
2003,Ujjain,364.0,1088.0,95.3,25.12,11.11,2.13,50.32,17.88,8.07,24.78,4.2,57.21,0.73,0.73,41.62,Medium ,Low,High,Black,100-300
